Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type
1,Woodwalton Farm,TL210810,"521,000","281,000","2,038",England,12,40,"1,976","2,015",UKBMS
2,Bevill's Wood,TL200790,"520,000","279,000","1,532",England,10,39,"1,976","2,015",UKBMS
3,Holkham,TF870450,"587,000","345,000","3,454",England,6,38,"1,976","2,015",UKBMS
4,Monks Wood,TL200800,"520,000","280,000","2,900",England,14,43,"1,973","2,015",UKBMS
5,Monks Wood Fields,TL200800,"520,000","280,000",,England,15,1,"1,976","1,976",UKBMS
6,Yarner Wood,SX770780,"277,000","78,000","3,133",England,11,39,"1,976","2,015",UKBMS
7,Brockwell's Farm,ST470890,"347,000","189,000",812,Wales,7,10,"1,976","1,985",UKBMS
8,Old Winchester Hill,SU64502080,"464,500","120,800","1,792",England,10,40,"1,976","2,015",UKBMS
9,Kingley Vale,SU820100,"482,000","110,000","6,289",England,15,40,"1,976","2,015",UKBMS
10,Oxwich,SS5087,"250,000","187,000","4,020",Wales,13,39,"1,976","2,015",UKBMS
11,Rhinog,SH650270,"265,000","327,000","2,269",Wales,6,5,"1,976","1,980",UKBMS
12,Leigh Marshes,TQ820850,"582,000","185,000","1,776",England,8,38,"1,976","2,014",UKBMS
13,Craig y Cilau,SO180160,"318,000","216,000","3,521",Wales,3,18,"1,976","1,997",UKBMS
14,Gomm Valley,SU890920,"489,000","192,000","1,219",England,9,38,"1,977","2,015",UKBMS
15,Foxholes,SP250200,"425,000","220,000","2,909",England,5,40,"1,976","2,015",UKBMS
16,Swanage,SZ020810,"402,000","81,000","3,397",England,15,38,"1,976","2,015",UKBMS
17,Buttlers Hanging,SU810960,"481,000","196,000","1,158",England,10,17,"1,976","2,015",UKBMS
18,Woodhurst,TL310750,"531,000","275,000","2,303",England,13,10,"1,976","1,985",UKBMS
19,Studland Heath,SZ020790,"402,000","79,000","3,665",England,14,40,"1,976","2,015",UKBMS
20,Ham Street Woods,TR000340,"600,000","134,000","1,711",England,15,10,"1,976","2,014",UKBMS
21,Castor Hanglands,TF11800160,"511,800","301,600","1,624",England,8,40,"1,976","2,015",UKBMS
22,Coedydd Maentwrog,SH600400,"260,000","340,000","2,099",Wales,12,9,"1,976","1,985",UKBMS
23,Ebbor Gorge,ST52804880,"352,800","148,800","2,294",England,8,33,"1,976","2,009",UKBMS
24,Dyfi,SN600930,"260,000","293,000","2,414",Wales,5,40,"1,976","2,015",UKBMS
25,Chippenham Fen,TL650690,"565,000","269,000","3,255",England,8,40,"1,976","2,015",UKBMS
26,Rostherne Mere,SJ740840,"374,000","384,000","5,360",England,15,24,"1,976","2,015",UKBMS
27,Holme Fen,TL210890,"521,000","289,000","4,438",England,8,38,"1,976","2,014",UKBMS
28,Walberswick,TM470740,"647,000","274,000","3,577",England,10,35,"1,976","2,014",UKBMS
29,Aston Rowant (N),SU730960,"473,000","196,000","3,400",England,10,39,"1,976","2,015",UKBMS
30,Aston Rowant (S),SU720960,"472,000","196,000","2,367",England,10,40,"1,976","2,015",UKBMS
31,Waterperry Wood,SP6009,"460,000","209,000","1,760",England,10,36,"1,976","2,014",UKBMS
32,Wye & Crundale Down,TR070450,"607,000","145,000","1,950",England,12,35,"1,976","2,015",UKBMS
33,Roudsea Wood (old),SD330820,"333,000","482,000",,England,15,2,"1,977","1,978",UKBMS
34,Potton Wood,TL250500,"525,000","250,000","3,960",England,9,40,"1,976","2,015",UKBMS
35,Stow Longa,TL120690,"512,000","269,000","1,506",England,5,2,"1,976","1,977",UKBMS
36,Bure Marshes,TG340160,"634,000","316,000","1,671",England,12,39,"1,976","2,015",UKBMS
37,Upper Teesdale,NY880280,"388,000","528,000","1,411",England,7,36,"1,977","2,015",UKBMS
38,Avon Gorge (old),ST550730,"355,000","173,000",,England,11,1,"1,976","1,976",UKBMS
39,Saltfleetby,TF460930,"546,000","393,000","2,929",England,12,38,"1,977","2,014",UKBMS
40,Tregarron Bog,SN680620,"268,000","262,000","3,649",Wales,3,1,"1,977","1,977",UKBMS
41,Vane Farm,NO160990,"316,000","799,000","2,253",Scotland,6,20,"1,977","2,009",UKBMS
42,Ben Lawers,NN6139,"261,000","739,000","3,432",Scotland,6,35,"1,977","2,015",UKBMS
43,Leighton Moss,SD48207500,"348,200","475,000","5,922",England,15,38,"1,977","2,015",UKBMS
44,Radipole Lake,SY670800,"367,000","80,000","1,649",England,6,26,"1,977","2,015",UKBMS
45,Gibralter Point,TF560580,"556,000","358,000","4,570",England,12,36,"1,977","2,015",UKBMS
46,Hatton Green,SP220670,"422,000","267,000",,England,15,2,"1,977","1,978",UKBMS
47,Skomer,SM72900930,"172,900","209,300","3,012",Wales,9,35,"1,977","2,015",UKBMS
48,Hampstead Heath,TQ270863,"527,000","186,300","1,856",England,11,36,"1,977","2,015",UKBMS
49,Inverpolly,NC000100,"200,000","910,000","3,469",Scotland,13,14,"1,977","1,990",UKBMS
50,Swale,TR03606750,"603,600","167,500",,England,8,2,"1,977","1,978",UKBMS
51,Loch Garten,NH970180,"297,000","818,000","3,645",Scotland,11,36,"1,977","2,015",UKBMS
52,Avon Gorge 1,ST560730,"356,000","173,000","5,761",England,11,5,"1,977","1,981",UKBMS
53,Avon Gorge 2,ST560730,"356,000","173,000","3,786",England,11,22,"1,977","1,999",UKBMS
54,Nagshead,SO600090,"360,000","209,000","3,428",England,10,32,"1,977","2,011",UKBMS
55,Loch Lomond,NS4387,"243,000","687,000","2,034",Scotland,10,9,"1,977","1,985",UKBMS
56,Harting Down,SU760170,"476,000","117,000",,England,6,2,"1,976","1,977",UKBMS
57,Tynllan,SJ050160,"305,000","316,000",,Wales,14,3,"1,977","1,979",UKBMS
58,Kingston Hill Farm,SP050000,"405,000","200,000","3,272",England,15,2,"1,977","1,978",UKBMS
59,Weeting Heath,TL750880,"575,000","288,000","3,037",England,6,30,"1,977","2,015",UKBMS
60,Lindisfarne,NU130430,"413,000","643,000","3,000",England,6,39,"1,977","2,015",UKBMS
61,Insh Marshes,NH810010,"281,000","801,000","3,482",Scotland,13,37,"1,977","2,015",UKBMS
62,Northward Hill,TQ780760,"578,000","176,000","1,998",England,9,33,"1,977","2,015",UKBMS
63,Fairburn Ings,SE460270,"446,000","427,000","4,087",England,5,1,"1,977","1,977",UKBMS
64,Skokholm,SM73800520,"173,800","205,200","1,270",Wales,10,24,"1,977","2,004",UKBMS
65,Woodwalton Fen,TL230840,"523,000","284,000","3,940",England,7,36,"1,978","2,014",UKBMS
66,Tentsmuir Point,NO500270,"350,000","727,000","4,187",Scotland,10,19,"1,978","1,996",UKBMS
67,Carnforth Marsh,SD48017243,"348,010","472,430","2,384",England,9,7,"1,978","1,984",UKBMS
68,Minsmere,TM460670,"646,000","267,000","3,287",England,12,1,"1,978","1,978",UKBMS
69,Holme Dunes,TF710440,"571,000","344,000","2,035",England,8,38,"1,978","2,015",UKBMS
70,Newborough Warren,SH420640,"242,000","364,000","2,141",Wales,15,17,"1,978","1,994",UKBMS
71,Castle Hill,TQ370070,"537,000","107,000","2,739",England,12,38,"1,978","2,015",UKBMS
72,Gait Barrows,SD4777,"347,000","477,000","1,400",England,9,38,"1,978","2,015",UKBMS
73,Wart Barrow,SD380770,"338,000","477,000","1,372",England,4,17,"1,978","1,996",UKBMS
74,Howe Park Wood,SP840340,"484,000","234,000",,England,14,3,"1,978","1,980",UKBMS
75,Tuddenham Heath,TL740720,"574,000","272,000",,England,5,1,"1,978","1,978",UKBMS
76,Wicken Fen,TL560700,"556,000","270,000","3,647",England,15,28,"1,979","2,006",UKBMS
77,Morton Lochs,NO460260,"346,000","726,000","2,958",Scotland,10,18,"1,979","1,996",UKBMS
78,Morrone Birkwood,NO130900,"313,000","790,000","3,776",Scotland,8,20,"1,979","1,999",UKBMS
79,St Cyrus,NO7463,"374,000","763,000","3,423",Scotland,15,14,"1,979","1,994",UKBMS
80,Warren Farm,TR030490,"603,000","149,000",,England,12,2,"1,979","1,980",UKBMS
81,South Stack Cliffs,SH210810,"221,000","381,000","3,256",Wales,13,5,"1,979","1,983",UKBMS
82,South Stack Ranges,SH220800,"222,000","380,000","2,290",Wales,13,18,"1,979","2,015",UKBMS
83,Pewsey Down,SU110630,"411,000","163,000","2,017",England,6,35,"1,979","2,015",UKBMS
84,Ampfield Wood,SU410238,"441,000","123,800","1,532",England,11,37,"1,979","2,015",UKBMS
85,Derbyshire Dales,SK1865,"418,000","365,000","4,770",England,11,37,"1,979","2,015",UKBMS
86,Alresford,SU580330,"458,000","133,000","3,868",England,12,37,"1,979","2,015",UKBMS
87,Sands of Forvie,NK020270,"402,000","827,000","5,674",Scotland,10,20,"1,979","1,998",UKBMS
89,West Dean Wood,SU850160,"485,000","116,000","2,282",England,15,36,"1,979","2,015",UKBMS
90,Roe Valley Country Park,NS030790,"203,000","679,000",,Scotland,9,1,"1,979","1,979",UKBMS
91,Woods Mill,TQ210130,"521,000","113,000","1,422",England,14,37,"1,979","2,015",UKBMS
92,Murlough,J4135,"150,060","489,996","4,794",Northern Ireland,15,37,"1,979","2,015",UKBMS
93,Martin Down,SU050180,"405,000","118,000","2,696",England,12,36,"1,979","2,015",UKBMS
94,Cwm Risca Farm,SS870840,"287,000","184,000","2,748",Wales,15,1,"1,979","1,979",UKBMS
95,Wyre Forest,SO75507660,"375,500","276,600","2,600",England,15,37,"1,979","2,015",UKBMS
96,Coombes Valley,SK000530,"400,000","353,000","2,168",England,15,24,"1,979","2,015",UKBMS
97,Lullington Heath,TQ540020,"554,000","102,000","3,886",England,15,37,"1,979","2,015",UKBMS
98,Erisey Barton,SW710170,"171,000","17,000",,England,13,3,"1,980","1,982",UKBMS
99,Moor Farm,TF220630,"522,000","363,000","2,097",England,11,27,"1,980","2,007",UKBMS
100,Ynys Hir,SN670950,"267,000","295,000","5,267",Wales,15,27,"1,981","2,007",UKBMS
101,Newton Links,NU230260,"423,000","626,000","2,441",England,9,34,"1,981","2,015",UKBMS
102,Pickett Wood,ST870540,"387,000","154,000","1,194",England,5,35,"1,981","2,015",UKBMS
103,Inverpolly,NC080130,"208,000","913,000",,Scotland,9,1,"1,981","1,981",UKBMS
104,Barnack Hills & Holes,TF070040,"507,000","304,000","1,669",England,10,35,"1,981","2,015",UKBMS
106,RSPB Blean Woods,TR100600,"610,000","160,000","4,400",England,15,34,"1,982","2,015",UKBMS
107,Batch Farm,SO880110,"388,000","211,000",761,England,13,24,"1,982","2,005",UKBMS
108,Morris' Wood,TQ550310,"555,000","131,000","2,025",England,15,12,"1,982","1,993",UKBMS
109,Yardley Hill,TQ380950,"538,000","195,000",,England,15,1,"1,982","1,982",UKBMS
110,Pynes Farmhouse,ST400200,"340,000","120,000",953,England,7,11,"1,983","1,993",UKBMS
111,St Osyth,TM110170,"611,000","217,000","2,151",England,9,32,"1,983","2,015",UKBMS
112,Luckett Wood,SX390720,"239,000","72,000","1,665",England,14,36,"1,980","2,015",UKBMS
113,Stour Wood,TM19103130,"619,100","231,300","3,910",England,12,32,"1,983","2,015",UKBMS
114,Shabbington Wood,SP620100,"462,000","210,000","4,156",England,10,12,"1,985","1,997",UKBMS
115,Oakley Woods,SP610110,"461,000","211,000","2,549",England,9,27,"1,986","2,013",UKBMS
116,Taynish,NR720820,"172,000","682,000","3,894",Scotland,12,31,"1,985","2,015",UKBMS
117,Whitecross Green Wood,SP600140,"460,000","214,000","1,853",England,11,30,"1,986","2,015",UKBMS
118,Ham Street Wood,TR000340,"600,000","134,000","3,038",England,13,20,"1,986","2,007",UKBMS
119,Folkestone Escarpment,TR21803810,"621,800","138,100","3,663",England,15,27,"1,987","2,015",UKBMS
120,Cors y Llyn,SO010550,"301,000","255,000","2,170",Wales,12,10,"1,987","2,000",UKBMS
121,Somerford Common (old),SU020860,"402,000","186,000","5,099",England,13,2,"1,987","1,988",UKBMS
122,Springhill Farm,TQ810300,"581,000","130,000","2,440",England,11,26,"1,987","2,012",UKBMS
123,Glen Strathfarrer,NH380360,"238,000","836,000","5,962",Scotland,12,9,"1,988","2,003",UKBMS
124,Roudsea,SD33308220,"333,300","482,200","3,131",England,15,25,"1,989","2,015",UKBMS
125,Fontmell Down,ST880170,"388,000","117,000","4,046",England,14,8,"1,989","1,996",UKBMS
126,Lydden,TR270450,"627,000","145,000","1,846",England,9,13,"1,989","2,006",UKBMS
127,Ariundle,NM830640,"183,000","764,000","2,245",Scotland,15,22,"1,989","2,014",UKBMS
128,Smardale Gill,NY7206,"372,000","506,000","3,173",England,11,21,"1,989","2,015",UKBMS
129,Mottistone Down,SZ41708460,"441,700","84,600","1,590",England,8,26,"1,989","2,015",UKBMS
130,Church Place,SU340090,"434,000","109,000","2,088",England,15,26,"1,989","2,015",UKBMS
131,Pitts Wood,SU190140,"419,000","114,000","3,030",England,7,9,"1,989","1,997",UKBMS
132,St Margaret's Bay,TR360430,"636,000","143,000","4,926",England,10,12,"1,989","2,001",UKBMS
133,Tadnoll,SY79108750,"379,100","87,500","3,370",England,10,26,"1,989","2,015",UKBMS
134,Bovey Valley,SX800780,"280,000","78,000","1,600",England,8,26,"1,989","2,015",UKBMS
135,East Blean Woods,TR180640,"618,000","164,000","3,627",England,15,24,"1,989","2,015",UKBMS
136,Somerford Common,SU020860,"402,000","186,000","3,249",England,13,22,"1,991","2,012",UKBMS
137,Thorne Moors,SE710150,"471,000","415,000","3,999",England,5,17,"1,990","2,010",UKBMS
138,Hickling Broad,TG420220,"642,000","322,000","1,652",England,10,5,"1,988","1,992",UKBMS
139,Blean Woods,TR110600,"611,000","160,000","2,005",England,15,24,"1,991","2,015",UKBMS
140,Culvie Wood,NJ590530,"359,000","853,000","3,093",Scotland,14,21,"1,991","2,011",UKBMS
141,Pollymore,NC070170,"207,000","917,000",983,Scotland,9,20,"1,991","2,011",UKBMS
142,Rothamsted Farm,TL120130,"512,000","213,000","3,069",England,12,20,"1,991","2,010",UKBMS
143,Loch Fleet,NH81409640,"281,400","896,400","3,128",Scotland,8,19,"1,993","2,015",UKBMS
144,Whitlaw Mosses,NT50502850,"350,500","628,500","1,025",Scotland,9,20,"1,992","2,013",UKBMS
145,Newborough Warren,SH420640,"242,000","364,000",,Wales,15,18,"1,995","2,015",UKBMS
146,St Cyrus (new),NO740670,"374,000","767,000","3,600",Scotland,15,18,"1,995","2,015",UKBMS
147,Whixall Moss (a),SJ490390,"349,000","339,000","2,800",Wales,10,13,"1,993","2,005",UKBMS
148,Denmark Farm,SN590540,"259,000","254,000","2,966",Wales,15,10,"1,993","2,002",UKBMS
149,Kenfig,SS800810,"280,000","181,000","4,407",Wales,10,19,"1,993","2,015",UKBMS
150,Killard Point,J6043,"169,672","496,353",,Northern Ireland,15,17,"1,994","2,015",UKBMS
151,Rhos Llawr Cwrt,SN410490,"241,000","249,000","1,637",Wales,11,22,"1,994","2,015",UKBMS
152,Pengelli,SN130390,"213,000","239,000","4,015",Wales,10,4,"1,994","1,997",UKBMS
153,Brodick Country Park,NS01903820,"201,900","638,200","1,801",Scotland,13,19,"1,995","2,015",UKBMS
154,Hickling Broad,TG420220,"642,000","322,000","1,680",England,3,9,"2,002","2,011",UKBMS
155,Shabbington Wood (new),SP620100,"462,000","210,000","3,260",England,10,20,"1,995","2,015",UKBMS
156,Denge Wood,TR100510,"610,000","151,000","1,462",England,10,18,"1,995","2,015",UKBMS
157,Whixall Fens and Mosses,SJ480360,"348,000","336,000","3,500",Wales,10,12,"1,993","2,015",UKBMS
158,Fontmell Down (new),ST880170,"388,000","117,000","3,809",England,14,36,"1,980","2,015",UKBMS
159,Gunthorpe,SK660440,"466,000","344,000","2,534",England,12,7,"1,997","2,003",UKBMS
160,Mabie Forest,NX920700,"292,000","570,000","3,500",Scotland,11,16,"1,995","2,015",UKBMS
161,Bishop Middleham Quarry,NZ33203270,"433,200","532,700","2,225",England,14,18,"1,997","2,015",UKBMS
162,Gear Sands,SW570400,"157,000","40,000",,England,12,3,"1,999","2,001",UKBMS
163,Blackford Hill,NT250700,"325,000","670,000","3,206",Scotland,13,12,"1,999","2,015",UKBMS
164,Carty Port,NX430620,"243,000","562,000",,Scotland,8,2,"1,999","2,000",UKBMS
165,Sands of Forvie (new),NK010260,"401,000","826,000","3,655",Scotland,7,17,"1,999","2,015",UKBMS
166,Great Orme,SH760830,"276,000","383,000","4,476",Wales,15,16,"1,999","2,015",UKBMS
167,Creag Meagaidh,NN470870,"247,000","787,000","3,156",Scotland,15,13,"1,997","2,010",UKBMS
168,Loddington (Arable),SK780020,"478,000","302,000","2,245",England,12,2,"2,000","2,001",UKBMS
169,Loddington (Embankment),SK780020,"478,000","302,000","2,240",England,10,2,"2,000","2,001",UKBMS
170,Writtle College (West),TL670070,"567,000","207,000","3,666",England,12,15,"2,000","2,014",UKBMS
171,Writtle College (East),TL680070,"568,000","207,000","2,448",England,8,15,"2,000","2,014",UKBMS
172,Grange Farm (North) A,TL320630,"532,000","263,000","2,879",England,20,16,"2,000","2,015",UKBMS
173,Grange Farm (South),TL320630,"532,000","263,000","2,574",England,15,16,"2,000","2,015",UKBMS
174,St. Abb's Head,NT910670,"391,000","667,000","4,068",Scotland,10,17,"1,999","2,015",UKBMS
175,Lochaber,NX920690,"292,000","569,000","2,661",Scotland,11,10,"2,000","2,015",UKBMS
176,North Warren,TM450580,"645,000","258,000","4,182",England,15,16,"2,000","2,015",UKBMS
177,Callendar Wood,NS89507870,"289,500","678,700","3,346",Scotland,11,10,"2,000","2,010",UKBMS
178,Cheriton Hill,TR190380,"619,000","138,000","1,304",England,9,22,"1,992","2,014",UKBMS
179,Grange Farm (North) B,TL320630,"532,000","263,000","2,900",England,10,16,"2,000","2,015",UKBMS
180,Dean Castle Country Park,NS43903960,"243,900","639,600","2,366",Scotland,7,5,"2,002","2,006",UKBMS
181,Bodmin Beacon LNR,SX06506650,"206,500","66,500","1,764",England,8,9,"2,002","2,011",UKBMS
182,Glasdrum,NN000450,"200,000","745,000",,Scotland,11,13,"2,002","2,015",UKBMS
183,Sandwell Valley,SP030920,"403,000","292,000","3,090",England,15,4,"2,003","2,006",UKBMS
184,Cavenham Heath,TL760720,"576,000","272,000","3,315",England,10,13,"2,003","2,015",UKBMS
185,Aberarder Mountain Ringlet,NN470870,"247,000","787,000",,Scotland,7,14,"1,994","2,010",UKBMS
186,Scamodale,NM84107360,"184,100","773,600","1,815",Scotland,11,8,"2,003","2,010",UKBMS
187,Torrington Commons,SS480190,"248,000","119,000","2,400",England,6,7,"2,002","2,008",UKBMS
188,Wootton Coppice,SZ240990,"424,000","99,000",,England,7,11,"2,004","2,015",UKBMS
189,Cragbank,NT590070,"359,000","607,000",,Scotland,10,1,"2,004","2,004",UKBMS
190,Tentsmuir Point North Revised,NO500279,"350,000","727,900","2,900",Scotland,8,10,"2,006","2,015",UKBMS
191,Tentsmuir Point (South),NO500270,"350,000","727,000",,Scotland,,1,"2,005","2,005",UKBMS
192,Morton Lochs,NO46302680,"346,300","726,800","2,900",Scotland,9,11,"2,004","2,015",UKBMS
193,Hengistbury Head,SZ17809040,"417,800","90,400","3,803",England,14,37,"1,979","2,015",UKBMS
194,Skokholm (new),SM73500500,"173,500","205,000",,Wales,,3,"2,005","2,007",UKBMS
195,Tentsmuir Point South Revised,NO500270,"350,000","727,000","1,700",Scotland,7,10,"2,006","2,015",UKBMS
196,Tentsmuir Point (north),NO500279,"350,000","727,900","2,900",Scotland,5,1,"2,005","2,005",UKBMS
500,Kitts Grave,SU03502100,"403,500","121,000",,England,12,1,"1,996","1,996",UKBMS
988,Allt Marchaidh,NH88600410,"288,600","804,100","1,727",Scotland,8,4,"2,003","2,006",UKBMS
989,Glensaugh (upper),NO650800,"365,000","780,000",,Scotland,4,17,"1,997","2,014",UKBMS
990,Y Wyddfa,SH620540,"262,000","354,000","2,265",Wales,5,17,"1,996","2,012",UKBMS
991,Porton Down,SU240350,"424,000","135,000","2,700",England,15,21,"1,994","2,015",UKBMS
992,Sourhope,NT840200,"384,000","620,000","1,287",Scotland,6,18,"1,993","2,010",UKBMS
993,Moor House,NY75203320,"375,200","533,200","1,919",England,10,23,"1,993","2,015",UKBMS
994,Wytham,SP470100,"447,000","210,000","4,794",England,13,22,"1,993","2,015",UKBMS
995,North Wyke,SX660985,"266,000","98,500","4,738",England,15,22,"1,993","2,015",UKBMS
996,Hillsborough,J2457,"134,989","513,366",,Northern Ireland,10,22,"1,993","2,015",UKBMS
997,Glensaugh,NO660780,"366,000","778,000","5,135",Scotland,11,20,"1,994","2,014",UKBMS
998,Drayton,SP16305540,"416,300","255,400","2,167",England,12,19,"1,993","2,011",UKBMS
999,Alice Holt,SU800400,"480,000","140,000","1,930",England,4,22,"1,994","2,015",UKBMS
"1,001",Stockbridge Down,SU38203480,"438,200","134,800","1,500",England,15,9,"2,006","2,015",UKBMS
"1,004",Badminston Common,SU460020,"446,000","102,000","2,190",England,10,6,"2,010","2,015",UKBMS
"1,005",Beacon Hill,SU60302270,"460,300","122,700","1,400",England,10,35,"1,980","2,015",UKBMS
"1,006",Bentley Station Meadow,SU79404280,"479,400","142,800",950,England,3,13,"2,002","2,015",UKBMS
"1,007",Bonchurch Down,SZ57607850,"457,600","78,500",650,England,9,23,"1,993","2,015",UKBMS
"1,008",Broughton Down,SU29403270,"429,400","132,700","2,000",England,10,1,"2,000","2,000",UKBMS
"1,009",Claylands,SU54701810,"454,700","118,100","1,600",England,8,13,"2,003","2,015",UKBMS
"1,010",Farlington Marshes Route A,SU68200440,"468,200","104,400","1,420",England,5,14,"2,001","2,015",UKBMS
"1,011",Hocombe Mead,SU430227,"443,000","122,700","2,400",England,8,11,"2,002","2,013",UKBMS
"1,013",Itchen Valley CP Meadows,SU45801620,"445,800","116,200","2,450",England,6,19,"1,997","2,015",UKBMS
"1,014",Lower Test Marshes,SU36401490,"436,400","114,900","3,729",England,11,25,"1,991","2,015",UKBMS
"1,016",Magdalen Hill Down,SU50502920,"450,500","129,200","1,950",England,10,26,"1,990","2,015",UKBMS
"1,017",Magdalen Hill Down extension,SU51502920,"451,500","129,200","1,600",England,8,20,"1,996","2,015",UKBMS
"1,018",Martin Down Kitts Grave,SU03402030,"403,400","120,300","1,465",England,12,30,"1,986","2,015",UKBMS
"1,019",Martin Down North,SU04501900,"404,500","119,000","1,375",England,9,30,"1,986","2,015",UKBMS
"1,022",Noar Hill,SU74103200,"474,100","132,000","2,383",England,15,14,"1,996","2,015",UKBMS
"1,023",Oxenbourne Down,SU71201860,"471,200","118,600","2,000",England,12,3,"2,001","2,004",UKBMS
"1,024",Pamber Forest,SU61506100,"461,500","161,000","5,300",England,15,26,"1,990","2,015",UKBMS
"1,025",Parkhurst Forest,SZ47709030,"447,700","90,300","3,050",England,14,2,"2,006","2,007",UKBMS
"1,029",Silchester Common,SU62206230,"462,200","162,300","1,020",England,5,17,"1,994","2,015",UKBMS
"1,030",St Catherine's Hill,SU48402750,"448,400","127,500","1,371",England,12,2,"2,001","2,002",UKBMS
"1,031",Swanwick NR,SU50801000,"450,800","110,000","2,300",England,14,13,"2,000","2,015",UKBMS
"1,032",Lower Test - Testwood Park House,SU35801450,"435,800","114,500","1,906",England,9,24,"1,992","2,015",UKBMS
"1,034",Coombe Bottom & St Boniface Down (Ventnor),SZ56507830,"456,500","78,300","1,100",England,11,27,"1,989","2,015",UKBMS
"1,035",Newton - Walters Copse,SZ43109050,"443,100","90,500","1,317",England,7,18,"1,998","2,015",UKBMS
"1,036",West Down (Chilbolton),SU38503890,"438,500","138,900","2,300",England,10,15,"2,001","2,015",UKBMS
"1,037",Wendleholme,SU49400730,"449,400","107,300","1,800",England,11,14,"1,987","2,000",UKBMS
"1,039",Winnall Moors,SU48803050,"448,800","130,500","4,000",England,12,21,"1,987","2,015",UKBMS
"1,040",Yew Hill,SU45402650,"445,400","126,500","1,220",England,6,25,"1,990","2,015",UKBMS
"1,044",Botley Wood 1,SU54501000,"454,500","110,000","2,900",England,11,21,"1,995","2,015",UKBMS
"1,045",Botley Wood 2,SU54200970,"454,200","109,700","1,200",England,7,6,"1,999","2,004",UKBMS
"1,046",Brading Quarries,SZ60108660,"460,100","86,600","1,400",England,10,4,"2,006","2,009",UKBMS
"1,047",Browndown North,SZ58209970,"458,200","99,700","1,800",England,8,5,"1,997","2,012",UKBMS
"1,048",Brownwich & Chilling,SU51500400,"451,500","104,000","2,800",England,12,12,"1,989","2,000",UKBMS
"1,049",Catherington Down,SU69201440,"469,200","114,400","3,033",England,9,18,"1,995","2,015",UKBMS
"1,050",Crabtree,SU66305190,"466,300","151,900","1,900",England,10,14,"2,001","2,015",UKBMS
"1,051",Crab Wood,SU43802950,"443,800","129,500",550,England,7,10,"2,006","2,015",UKBMS
"1,052",Crowdhill Copse,SU48901980,"448,900","119,800","2,757",England,9,16,"1,993","2,008",UKBMS
"1,054",Firestone Copse,SZ55509080,"455,500","90,800","1,700",England,10,10,"2,006","2,015",UKBMS
"1,055",The Gillies,SU57200590,"457,200","105,900","1,300",England,8,11,"2,005","2,015",UKBMS
"1,057",Leckford-A,SU37503750,"437,500","137,500",,England,10,8,"2,001","2,015",UKBMS
"1,058",Leckford-J,SU38203570,"438,200","135,700","1,610",England,10,21,"1,989","2,015",UKBMS
"1,059",Old Burghclere Lime Quarry,SU47305740,"447,300","157,400","1,100",England,9,8,"1,997","2,007",UKBMS
"1,060",Pignal Inclosure,SU31500400,"431,500","104,000",600,England,7,16,"2,000","2,015",UKBMS
"1,063",Whippingham (fields),SZ510933,"451,000","93,300","3,650",England,11,10,"2,006","2,015",UKBMS
"1,064",Whippingham (Woodhouse),SZ530930,"453,000","93,000",950,England,11,8,"2,006","2,013",UKBMS
"1,065",Wick Wood,SU75803530,"475,800","135,300","3,056",England,12,20,"1,995","2,015",UKBMS
"1,067",Medina Valley Centre,SZ50309090,"450,300","90,900",367,England,10,25,"1,988","2,015",UKBMS
"1,068",Emer Bog,SU39702150,"439,700","121,500","1,700",England,10,1,"2,004","2,004",UKBMS
"1,070",Itchen Valley CP Woods,SU46901670,"446,900","116,700","1,100",England,8,19,"1,997","2,015",UKBMS
"1,073",Farlington Marshes Route B,SU68800520,"468,800","105,200","1,286",England,6,12,"2,001","2,012",UKBMS
"1,074",Farlington Marshes Route C,SU68200430,"468,200","104,300","1,715",England,6,12,"2,001","2,015",UKBMS
"1,075",Roydon Woods - Bakers,SU31700160,"431,700","101,600","2,979",England,15,12,"2,001","2,015",UKBMS
"1,076",Roydon Woods - Calveslease,SU32200010,"432,200","100,100","1,461",England,11,12,"2,001","2,012",UKBMS
"1,077",Roydon Woods - Newlands,SU32200090,"432,200","100,900","1,014",England,12,3,"2,001","2,004",UKBMS
"1,079",Roydon Woods - Woodhouse,SU310004,"431,000","100,400","1,737",England,11,2,"2,001","2,002",UKBMS
"1,081",Bartley Heath New 1,SU72905350,"472,900","153,500","4,600",England,10,16,"2,000","2,015",UKBMS
"1,083",Roydon Woods - Southern Fields,SZ31709960,"431,700","99,600","2,842",England,15,15,"2,000","2,015",UKBMS
"1,084",The Dongas,SU490276,"449,000","127,600","1,391",England,8,9,"1,997","2,014",UKBMS
"1,085",Millfield,SU46603290,"446,600","132,900",185,England,12,9,"2,002","2,010",UKBMS
"1,086",Parkhurst Forest 2,SZ47209120,"447,200","91,200","4,400",England,11,2,"2,006","2,007",UKBMS
"1,087",Parkhurst Forest 3,SZ46809150,"446,800","91,500",,England,11,2,"2,006","2,007",UKBMS
"1,089",Hamble Common,SU48400610,"448,400","106,100","1,995",England,6,15,"2,001","2,015",UKBMS
"1,090",Itchen Valley Country Park 3 Copses,SU460160,"446,000","116,000",,England,8,13,"2,003","2,015",UKBMS
"1,091",Peartree Green,SU43701150,"443,700","111,500","1,500",England,8,5,"2,005","2,013",UKBMS
