Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type
"3,417",Burniston-Cloughton,TA01509320,"501,500","493,200","1,050",England,7,4,"2,007","2,011",UKBMS
"3,418",Millington Wood,SE835535,"483,500","453,500","1,800",England,9,2,"2,007","2,008",UKBMS
"3,419",Nostell Priory & Parkland,SE405180,"440,500","418,000","1,586",England,5,6,"2,008","2,013",UKBMS
"3,420",Broad Heads Farm,SE903882,"490,300","488,200","1,805",England,7,7,"2,008","2,015",UKBMS
"3,421",Hawnby Hill,SE541905,"454,100","490,500","2,481",England,11,7,"2,009","2,015",UKBMS
"3,422",Eston Moor,NZ562177,"456,200","517,700","1,278",England,11,3,"2,009","2,011",UKBMS
"3,423",Ashberry pastures,SE569854,"456,900","485,400","1,157",England,8,4,"2,010","2,015",UKBMS
"3,424",Fen Bog,SE855981,"485,500","498,100","1,352",England,8,4,"2,010","2,015",UKBMS
"3,425",Burton Leonard Lime Quarry,SE324632,"432,400","463,200",674,England,9,5,"2,010","2,015",UKBMS
"3,426",Deep Dale South,TA044840,"504,400","484,000","1,000",England,10,3,"2,010","2,012",UKBMS
"3,427",Deep Dale North,TA044844,"504,400","484,400","1,200",England,12,3,"2,010","2,012",UKBMS
"3,428",Pexton Bank,SE854855,"485,400","485,500",900,England,6,2,"2,010","2,015",UKBMS
"3,429",Bishop Monkton railway Cutting,SE315663,"431,500","466,300",600,England,6,5,"2,011","2,015",UKBMS
"3,430",Silpho Quarry,SE962920,"496,200","492,000",,England,10,5,"2,011","2,015",UKBMS
"3,431",Catterstye,NZ694198,"469,400","519,800","2,317",England,10,1,"2,011","2,011",UKBMS
"3,432",Rosedale East,SE704990,"470,400","499,000","3,352",England,9,5,"2,011","2,015",UKBMS
"3,433",Askham Bog,SE572482,"457,200","448,200",,England,8,1,"2,011","2,011",UKBMS
"3,434",Staveley East,SE370630,"437,000","463,000","3,402",England,9,5,"2,011","2,015",UKBMS
"3,435",Staveley West,SE362628,"436,200","462,800","2,015",England,8,5,"2,011","2,015",UKBMS
"3,436",South Gare,NZ556275,"455,600","527,500","2,316",England,7,5,"2,011","2,015",UKBMS
"3,437",Yockenthwaite,SD912788,"391,200","478,800","2,192",England,11,3,"2,012","2,014",UKBMS
"3,438",Stirley Farm,SE145136,"414,500","413,600",,England,,2,"2,013","2,015",UKBMS
"3,439",Malham Tarn NNR,SD890672,"389,000","467,200",,England,,3,"2,013","2,015",UKBMS
"3,440","Low Ox Pasture, Kilnsey",SD970685,"397,000","468,500","1,460",England,7,1,"2,014","2,014",UKBMS
"3,441",Ingleborough High Brae,SD791738,"379,100","473,800","2,459",England,12,2,"2,014","2,015",UKBMS
"3,442",Lower Winskill,SD826666,"382,600","466,600","2,210",England,8,2,"2,014","2,015",UKBMS
"3,443",Oxenber Wood,SD782684,"378,200","468,400","2,090",England,6,2,"2,014","2,015",UKBMS
"3,444",Flatts Lane Eston Moor,NZ551168,"455,100","516,800","5,411",England,8,1,"2,015","2,015",UKBMS
"3,446",Millfield Meadow Saltburn,NZ662204,"466,200","520,400",775,England,8,1,"2,015","2,015",UKBMS
"3,447",Yorkshire Arboretum at Castle Howard,SE698698,"469,800","469,800",990,England,8,1,"2,015","2,015",UKBMS
"3,449",Riddings Field & St Josephs Wood,SE016888,"401,600","488,800","1,025",England,11,1,"2,015","2,015",UKBMS
"3,450",Ellerburn new,SE853850,"485,300","485,000",925,England,7,1,"2,015","2,015",UKBMS
"3,451",Brae Pasture,SD789740,"378,900","474,000","1,193",England,8,1,"2,015","2,015",UKBMS
"3,452",Burton Riggs,TA029831,"502,900","483,100",700,England,6,1,"2,015","2,015",UKBMS
"3,453",Cropton Forest,SE768910,"476,800","491,000","4,000",England,10,1,"2,015","2,015",UKBMS
"3,454",Grass Wood,SD987659,"398,700","465,900","1,800",England,10,1,"2,015","2,015",UKBMS
"3,455",Leyburn Old Glebe,SE101897,"410,100","489,700","1,200",England,8,1,"2,015","2,015",UKBMS
"3,456",Littlebeck Wood,NZ882045,"488,200","504,500",780,England,9,1,"2,015","2,015",UKBMS
"3,457",Ripon Loop,SE317738,"431,700","473,800","2,665",England,10,1,"2,015","2,015",UKBMS
"3,458",Southerscales,SD743762,"374,300","476,200","2,210",England,8,1,"2,015","2,015",UKBMS
"3,500",Oxford Island,J055610,"116,890","518,929",,Northern Ireland,13,14,"1,990","2,004",UKBMS
