Species,Common name,Year,No. sites,Collated Index,Time period
Thymelicus sylvestris,Small Skipper,1976,31,1.99,1976-2012
Thymelicus sylvestris,Small Skipper,1977,38,1.9,1976-2012
Thymelicus sylvestris,Small Skipper,1978,32,1.89,1976-2012
Thymelicus sylvestris,Small Skipper,1979,51,2.09,1976-2012
Thymelicus sylvestris,Small Skipper,1980,61,2.06,1976-2012
Thymelicus sylvestris,Small Skipper,1981,68,2.22,1976-2012
Thymelicus sylvestris,Small Skipper,1982,72,2.37,1976-2012
Thymelicus sylvestris,Small Skipper,1983,83,2.3,1976-2012
Thymelicus sylvestris,Small Skipper,1984,90,2.45,1976-2012
Thymelicus sylvestris,Small Skipper,1985,95,2.16,1976-2012
Thymelicus sylvestris,Small Skipper,1986,97,2.19,1976-2012
Thymelicus sylvestris,Small Skipper,1987,110,1.99,1976-2012
Thymelicus sylvestris,Small Skipper,1988,131,1.94,1976-2012
Thymelicus sylvestris,Small Skipper,1989,169,2.11,1976-2012
Thymelicus sylvestris,Small Skipper,1990,183,2.06,1976-2012
Thymelicus sylvestris,Small Skipper,1991,202,2.3,1976-2012
Thymelicus sylvestris,Small Skipper,1992,222,2.27,1976-2012
Thymelicus sylvestris,Small Skipper,1993,248,2.13,1976-2012
Thymelicus sylvestris,Small Skipper,1994,272,2.3,1976-2012
Thymelicus sylvestris,Small Skipper,1995,314,2.24,1976-2012
Thymelicus sylvestris,Small Skipper,1996,350,2.27,1976-2012
Thymelicus sylvestris,Small Skipper,1997,359,2.12,1976-2012
Thymelicus sylvestris,Small Skipper,1998,355,1.88,1976-2012
Thymelicus sylvestris,Small Skipper,1999,374,2.01,1976-2012
Thymelicus sylvestris,Small Skipper,2000,387,2,1976-2012
Thymelicus sylvestris,Small Skipper,2001,352,1.99,1976-2012
Thymelicus sylvestris,Small Skipper,2002,392,1.91,1976-2012
Thymelicus sylvestris,Small Skipper,2003,441,2,1976-2012
Thymelicus sylvestris,Small Skipper,2004,390,1.79,1976-2012
Thymelicus sylvestris,Small Skipper,2005,305,1.89,1976-2012
Thymelicus sylvestris,Small Skipper,2006,380,1.73,1976-2012
Thymelicus sylvestris,Small Skipper,2007,360,1.55,1976-2012
Thymelicus sylvestris,Small Skipper,2008,408,1.57,1976-2012
Thymelicus sylvestris,Small Skipper,2009,441,1.66,1976-2012
Thymelicus sylvestris,Small Skipper,2010,497,1.58,1976-2012
Thymelicus sylvestris,Small Skipper,2011,517,1.58,1976-2012
Thymelicus sylvestris,Small Skipper,2012,462,1.51,1976-2012
Thymelicus acteon,Lulworth Skipper,1992,4,2.56,1976-2012
Thymelicus acteon,Lulworth Skipper,1993,4,2.24,1976-2012
Thymelicus acteon,Lulworth Skipper,1994,5,2.29,1976-2012
Thymelicus acteon,Lulworth Skipper,1995,5,2.12,1976-2012
Thymelicus acteon,Lulworth Skipper,1996,5,1.86,1976-2012
Thymelicus acteon,Lulworth Skipper,1997,5,1.88,1976-2012
Thymelicus acteon,Lulworth Skipper,1998,5,2.19,1976-2012
Thymelicus acteon,Lulworth Skipper,1999,5,2.44,1976-2012
Thymelicus acteon,Lulworth Skipper,2000,6,2.41,1976-2012
Thymelicus acteon,Lulworth Skipper,2001,6,2.11,1976-2012
Thymelicus acteon,Lulworth Skipper,2002,6,2.27,1976-2012
Thymelicus acteon,Lulworth Skipper,2003,6,2.25,1976-2012
Thymelicus acteon,Lulworth Skipper,2004,5,2.15,1976-2012
Thymelicus acteon,Lulworth Skipper,2005,3,2.02,1976-2012
Thymelicus acteon,Lulworth Skipper,2006,7,1.98,1976-2012
Thymelicus acteon,Lulworth Skipper,2007,6,1.68,1976-2012
Thymelicus acteon,Lulworth Skipper,2008,11,1.59,1976-2012
Thymelicus acteon,Lulworth Skipper,2009,11,1.47,1976-2012
Thymelicus acteon,Lulworth Skipper,2010,14,1.32,1976-2012
Thymelicus acteon,Lulworth Skipper,2011,12,1.59,1976-2012
Thymelicus acteon,Lulworth Skipper,2012,9,1.57,1976-2012
Hesperia comma,Silver-spotted Skipper,1979,5,1.25,1976-2012
Hesperia comma,Silver-spotted Skipper,1980,7,1.82,1976-2012
Hesperia comma,Silver-spotted Skipper,1981,7,1.49,1976-2012
Hesperia comma,Silver-spotted Skipper,1982,8,1.1,1976-2012
Hesperia comma,Silver-spotted Skipper,1983,9,1.48,1976-2012
Hesperia comma,Silver-spotted Skipper,1984,10,2.08,1976-2012
Hesperia comma,Silver-spotted Skipper,1985,9,1.63,1976-2012
Hesperia comma,Silver-spotted Skipper,1986,9,1.5,1976-2012
Hesperia comma,Silver-spotted Skipper,1987,13,1.65,1976-2012
Hesperia comma,Silver-spotted Skipper,1988,13,1.47,1976-2012
Hesperia comma,Silver-spotted Skipper,1989,18,1.8,1976-2012
Hesperia comma,Silver-spotted Skipper,1990,24,1.95,1976-2012
Hesperia comma,Silver-spotted Skipper,1991,23,2.07,1976-2012
Hesperia comma,Silver-spotted Skipper,1992,25,1.94,1976-2012
Hesperia comma,Silver-spotted Skipper,1993,26,1.91,1976-2012
Hesperia comma,Silver-spotted Skipper,1994,29,1.83,1976-2012
Hesperia comma,Silver-spotted Skipper,1995,35,2.16,1976-2012
Hesperia comma,Silver-spotted Skipper,1996,34,2.15,1976-2012
Hesperia comma,Silver-spotted Skipper,1997,32,2.45,1976-2012
Hesperia comma,Silver-spotted Skipper,1998,36,2.41,1976-2012
Hesperia comma,Silver-spotted Skipper,1999,41,2.48,1976-2012
Hesperia comma,Silver-spotted Skipper,2000,40,2.3,1976-2012
Hesperia comma,Silver-spotted Skipper,2001,31,2.25,1976-2012
Hesperia comma,Silver-spotted Skipper,2002,34,2.15,1976-2012
Hesperia comma,Silver-spotted Skipper,2003,36,2.44,1976-2012
Hesperia comma,Silver-spotted Skipper,2004,36,2.38,1976-2012
Hesperia comma,Silver-spotted Skipper,2005,31,2.4,1976-2012
Hesperia comma,Silver-spotted Skipper,2006,35,2.43,1976-2012
Hesperia comma,Silver-spotted Skipper,2007,27,2.21,1976-2012
Hesperia comma,Silver-spotted Skipper,2008,35,2.01,1976-2012
Hesperia comma,Silver-spotted Skipper,2009,37,2.1,1976-2012
