Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type,PRIVATE
1510,Burham Down,TQ73506240,573500,162400,2500,England,14,6,1995,2001,UKBMS,N
1511,Burnt Oak Wood,TQ990349,599000,134900,2450,England,13,31,1984,2016,UKBMS,N
1514,Kemsing Downs,TQ550594,555000,159400,2100,England,,3,1997,1999,UKBMS,N
1519,Sandwich Bay,TR35206160,635200,161600,,England,15,16,1984,2003,UKBMS,N
1520,"Colepit Lane, Torry Hill",TQ90705650,590700,156500,1900,England,8,12,1992,2003,UKBMS,N
1521,"Mintching Wood, Torry Hill",TQ91605860,591600,158600,1700,England,12,12,1992,2003,UKBMS,N
1522,"Warren Bank, Torry Hill",TQ91805670,591800,156700,1000,England,4,12,1992,2003,UKBMS,N
1523,"Wrinsted, Torry Hill",TQ89705530,589700,155300,1850,England,8,12,1992,2003,UKBMS,N
1524,Orlestone Forest,TQ98103550,598100,135500,2500,England,13,22,1992,2016,UKBMS,N
1525,Tudeley Woods - The Plants,TQ62604440,562600,144400,2000,England,10,30,1987,2016,UKBMS,N
1526,Tudeley Woods - Brakey Bank,TQ61504350,561500,143500,2350,England,10,30,1987,2016,UKBMS,N
1527,Thornden Meadows,TR14906440,614900,164400,,England,,2,1997,1998,UKBMS,N
1528,Queendown Warren L.N.R,TQ82706290,582700,162900,,England,14,3,1999,2001,UKBMS,N
1529,Larkey Valley Wood,TR12505550,612500,155500,1950,England,10,16,1995,2016,UKBMS,N
1530,Broadham Down,TR08505300,608500,153000,2000,England,12,3,2000,2002,UKBMS,N
1532,Fackenden Down,TQ530608,553000,160800,1552,England,9,1,2003,2003,UKBMS,N
1533,White Hill Shoreham,TQ52806130,552800,161300,880,England,6,3,2001,2004,UKBMS,N
1535,High Elms,TQ44606350,544600,163500,,England,8,9,1997,2007,UKBMS,N
1536,Jubilee Country Park,TQ440698,544000,169800,2019,England,9,13,2004,2016,UKBMS,N
1537,Scadbury Park,TQ460702,546000,170200,1667,England,8,11,2004,2016,UKBMS,N
1538,Hawkshill Common,TR37304980,637300,149800,1141,England,6,10,2005,2016,UKBMS,N
1539,Downe Bank,TQ43806090,543800,160900,,England,10,7,2005,2016,UKBMS,N
1540,Palm Bay,TR38407140,638400,171400,1342,England,8,10,2005,2016,UKBMS,N
1541,Down House Estate,TQ43106110,543100,161100,1680,England,7,12,2005,2016,UKBMS,N
1542,Tudeley Woods - The Plants (2),TQ62604440,562600,144400,2000,England,10,30,1987,2016,UKBMS,N
1544,Pegwell Bay CP,TR34106320,634100,163200,1750,England,10,9,2005,2016,UKBMS,N
1545,Stonelees,TR33806250,633800,162500,2320,England,15,9,2005,2016,UKBMS,N
1546,Cole Wood - Broad Oak/Blean,TR15506200,615500,162000,3560,England,11,10,2006,2016,UKBMS,N
1547,Sandwich Bay,TR34906170,634900,161700,3538,England,10,4,2007,2010,UKBMS,N
1548,Cliffside Drive/Dumpton walk,TR392663,639200,166300,3150,England,5,5,2010,2014,UKBMS,N
1550,Well Wood,TQ396643,539600,164300,1632,England,6,4,2005,2013,UKBMS,N
1551,Darrick Woods & Newstead Common,TQ444649,544400,164900,1138,England,6,2,2009,2010,UKBMS,N
1552,West Blean Wood West,TR157636,615700,163600,2265,England,9,6,2010,2016,UKBMS,N
1553,West Blean Wood East,TR166635,616600,163500,4190,England,15,5,2011,2016,UKBMS,N
1554,Hothfield Common Extension,TQ964458,596400,145800,2000,England,10,3,2014,2016,UKBMS,N
1555,CT10 1RX to Montefiore Woodland,TR376646,637600,164600,2500,England,6,3,2012,2014,UKBMS,N
1556,West Wickham Common,TQ398652,539800,165200,300,England,13,8,2001,2016,UKBMS,N
1557,Wraik Hill Nature Reserve,TR097638,609700,163800,2436,England,13,4,2012,2016,UKBMS,N
1558,Thornden Woods,TR144635,614400,163500,5194,England,14,1,2012,2012,UKBMS,N
1559,Reculver Country Park,TR225695,622500,169500,3981,England,12,4,2012,2016,UKBMS,N
1560,Fox's Cross Nature Reserve,TR093634,609300,163400,1071,England,8,4,2012,2016,UKBMS,N
1561,Sandwich Bay Estate,TR361573,636100,157300,,England,,4,2013,2016,UKBMS,N
1563,Telegraph Farm,TR307513,630700,151300,1250,England,5,2,2014,2016,UKBMS,N
1564,Darland Banks A,TQ791655,579100,165500,2323,England,14,3,2014,2016,UKBMS,N
1565,Darland Banks B,TQ781661,578100,166100,2522,England,13,3,2014,2016,UKBMS,N
1566,Tonbridge Water Meadows,TQ611472,561100,147200,200,England,6,2,2014,2015,UKBMS,N
1567,Highlands Farm,TQ962345,596200,134500,3117,England,12,3,2014,2016,UKBMS,N
1568,Bedgebury Pinetum,TQ719335,571900,133500,6000,England,9,3,2014,2016,UKBMS,N
1569,Westgate Parks,TR143577,614300,157700,1630,England,5,3,2014,2016,UKBMS,N
1570,Sevenoaks Wildlife Reserve,TQ522569,552200,156900,2700,England,11,3,2014,2016,UKBMS,N
1571,Sprivers,TQ693399,569300,139900,2891,England,13,1,2014,2014,UKBMS,N
1575,Covert Wood,TR183481,618300,148100,1650,England,4,2,2015,2016,UKBMS,N
1576,Kemsing Down,TQ555593,555500,159300,2372,England,8,2,2015,2016,UKBMS,N
1577,Lydden Hill,TR254461,625400,146100,1180,England,5,2,2015,2016,UKBMS,N
1578,Montefiore Wood & Dumpton (2015 route),TR392662,639200,166200,4425,England,9,2,2015,2016,UKBMS,N
1579,Tarn Park,TQ427733,542700,173300,1000,England,2,2,2015,2016,UKBMS,N
1580,Tudeley Woods - Pembury Heath,TQ616422,561600,142200,2000,England,10,2,2015,2016,UKBMS,N
1581,Queendown Warren 2,TQ829628,582900,162800,3000,England,7,2,2015,2016,UKBMS,N
1582,Wouldham,TQ725633,572500,163300,600,England,3,2,2015,2016,UKBMS,N
1583,The Larches,TQ789588,578900,158800,2000,England,4,2,2015,2016,UKBMS,N
1584,Tonbridge Water Meadows 2,TQ608472,560800,147200,1990,England,6,1,2016,2016,,N
1585,Peters Pit,TQ717626,571700,162600,3104,England,8,1,2016,2016,,N
1586,Conningbrook Lakes Country Park,TR031433,603100,143300,2500,England,12,1,2016,2016,,N
1587,"Luton Rec, Medway",TQ778663,577800,166300,1300,England,10,1,2016,2016,,N
1588,Gravesend Marling Cross,TQ656705,565600,170500,1170,England,11,1,2016,2016,,N
1589,Hilly Wood,TQ776391,577600,139100,800,England,4,1,2016,2016,,N
1590,Warren Plain,TQ691682,569100,168200,1000,England,1,1,2016,2016,,N
1601,Hartsholme Country Park,SK94406970,494400,369700,3555,England,10,10,1993,2002,UKBMS,N
1602,Swanholme Lakes LNR,SK94306850,494300,368500,1730,England,,10,1993,2002,UKBMS,N
1603,Chambers Farm Wood,TF150740,515000,374000,3660,England,6,10,1994,2003,UKBMS,N
1607,Snakeholme Pit,TF11507160,511500,371600,400,England,11,29,1988,2016,UKBMS,N
1608,Twyford Glades,SK95402250,495400,322500,830,England,7,16,2000,2016,UKBMS,N
1609,Twyford North,SK963233,496300,323300,,England,6,1,2000,2000,UKBMS,N
1610,Twyford Sanctuary,SK94302330,494300,323300,580,England,6,17,1999,2016,UKBMS,N
1611,Twyford South,SK954225,495400,322500,,England,7,1,2000,2000,UKBMS,N
1612,Twyford West,SK943233,494300,323300,,England,6,1,2000,2000,UKBMS,N
1614,Red Hill Nature Reserve,TF26708060,526700,380600,1740,England,7,17,2000,2016,UKBMS,N
1615,Southrey Wood,TF130680,513000,368000,2390,England,9,7,2007,2016,UKBMS,N
1616,Whisby Nature Park,SK911670,491100,367000,1282,England,6,6,2009,2014,UKBMS,N
1617,FRAMPTON MARSH RSPB,TF356392,535600,339200,2450,England,8,1,2012,2012,UKBMS,N
1618,Frampton Marsh (2015 route),TF356391,535600,339100,2000,England,9,1,2015,2015,UKBMS,N
1619,Quarry Cottage,TF045204,504500,320400,913,England,6,1,2016,2016,,N
1701,Piddledown Common,SX72908990,272900,89900,620,England,10,18,1997,2016,UKBMS,N
1703,Aish Tor,SX70407100,270400,71000,2100,England,12,22,1993,2015,UKBMS,N
1704,Trentishoe Combe (Heddon Valley),SS64604840,264600,148400,,England,,5,1993,1999,UKBMS,N
1705,Little Breach,ST11501550,311500,115500,400,England,7,19,1997,2016,UKBMS,N
1706,Haldon Forest,SX87208450,287200,84500,2767,England,8,8,1995,2006,UKBMS,N
1707,Dunsdon Farm 1 (MF transect),SS29600820,229600,108200,1300,England,5,9,1998,2006,UKBMS,N
1708,Ashclyst Forest,SX99909950,299900,99500,400,England,1,7,2002,2016,UKBMS,N
1709,North Wyke ECN,SX660985,266000,98500,4144,England,15,13,1993,2006,UKBMS,N
1710,Lydford,SX490836,249000,83600,1500,England,6,22,1994,2016,UKBMS,N
1711,Dunsford Meadow,SX78508920,278500,89200,1450,England,,7,1991,2003,UKBMS,N
1712,Trentishoe Transect (Heddon Valley),SS64604830,264600,148300,,England,,5,1993,1999,UKBMS,N
1713,Heddonsmouth (Heddon Valley),SS65204850,265200,148500,,England,,6,1994,1999,UKBMS,N
1714,Dunsdon Farm 2,SS29700780,229700,107800,1374,England,8,3,2000,2003,UKBMS,N
1715,Fowlescombe Farm,SX69505520,269500,55200,2160,England,9,3,2001,2003,UKBMS,N
1716,Start Farm South Hams,SX820370,282000,37000,4600,England,1,1,2000,2000,UKBMS,N
1717,West Down (Dartmoor),SX48407030,248400,70300,900,England,6,15,2001,2015,UKBMS,N
1718,"Ruggadon, Trusham",SX85608160,285600,81600,1680,England,7,4,2002,2005,UKBMS,N
1719,Lustleigh Cleave,SX76208200,276200,82000,1200,England,6,2,2003,2004,UKBMS,N
1720,Kerswell Down,SX87206760,287200,67600,1345,England,10,14,2003,2016,UKBMS,N
1721,Bovey Heath,SX82407650,282400,76500,1140,England,7,12,2003,2016,UKBMS,N
1722,Waterleat,SX75307240,275300,72400,540,England,13,5,2002,2006,UKBMS,N
1723,Stover Country Park,SX83207510,283200,75100,1000,England,6,9,2003,2011,UKBMS,N
1724,Staddon Moor,SS680025,268000,102500,2050,England,12,2,2003,2004,UKBMS,N
1725,Torrington Commons,SS480190,248000,119000,2280,England,6,2,2003,2004,UKBMS,N
1726,Dunsford Wood,SX78508920,278500,89200,1100,England,3,6,2002,2007,UKBMS,N
1727,Corner Wood and Kiln Close,SX7572,275000,72000,530,England,6,1,2005,2005,UKBMS,N
1728,Blackdown Common 2005 route,ST11201540,311200,115400,1700,England,4,12,2005,2016,UKBMS,N
1729,Bovey Heath cmpt 2,SX82407680,282400,76800,1855,England,15,1,2006,2006,UKBMS,N
1730,Slapton Ley NNR - Loworthy,SX82504650,282500,46500,,England,4,2,2006,2007,UKBMS,N
1731,Slapton Ley NNR - Nature Trail,SX820442,282000,44200,,England,5,2,2006,2007,UKBMS,N
1733,Park Farm,SY29909510,329900,95100,2500,England,9,10,2007,2016,UKBMS,N
1734,Bovey Heath comp 2 new,SX82407680,282400,76800,770,England,11,1,2007,2007,UKBMS,N
1735,Yarner Wood extension,SX787789,278700,78900,250,England,2,7,2009,2016,UKBMS,N
1736,Clennon Hill,SX880594,288000,59400,1712,England,10,8,2008,2016,UKBMS,N
1737,Primley wood and meadow,SX878602,287800,60200,1143,England,6,8,2008,2016,UKBMS,N
1738,Ideford Common SSSI,SX900787,290000,78700,956,England,5,6,2010,2015,UKBMS,N
1739,Yeo Valley Community Woodland,SS574338,257400,133800,1410,England,6,6,2010,2016,UKBMS,N
1740,Bovey Heath comp 2 (2010 route),SX825769,282500,76900,1150,England,7,7,2010,2016,UKBMS,N
1741,Slapton Ley NNR,SX823463,282300,46300,1263,England,7,6,2011,2016,UKBMS,N
1742,Exminster Marshes RSPB Reserve,SX956867,295600,86700,1460,England,5,6,2011,2016,UKBMS,N
1743,Saltram Park,SX522549,252200,54900,1225,England,6,6,2011,2016,UKBMS,N
1744,Upcott Farm,SS823130,282300,113000,1825,England,10,6,2011,2016,UKBMS,N
1745,"Bowden Hill, Ashburton",SX753698,275300,69800,1561,England,9,6,2011,2016,UKBMS,N
1746,Berry Head Transect 3,SX939562,293900,56200,1711,England,10,5,2011,2016,UKBMS,N
1747,Primley Wood and Meadow extension,SX878602,287800,60200,297,England,2,4,2012,2016,UKBMS,N
1748,Waterleat extension,SX751723,275100,72300,250,England,2,5,2012,2016,UKBMS,N
1749,West Down Shaugh Prior,SX542636,254200,63600,1880,England,9,1,2012,2012,UKBMS,N
1750,Home Farm Marsh Reserve,SS498329,249800,132900,2300,England,6,2,2011,2012,UKBMS,N
1751,Churchills Local Nature Reserve,SX852722,285200,72200,1000,England,5,4,2012,2015,UKBMS,N
1752,Weston,SY169885,316900,88500,2325,England,8,3,2013,2016,UKBMS,N
1753,Northam Burrows,SS439309,243900,130900,1900,England,8,2,2013,2014,UKBMS,N
1756,Meeth Quarry,SS536084,253600,108400,2000,England,9,2,2014,2015,UKBMS,N
1757,Dartington River Walk,SX800630,280000,63000,1000,England,10,1,2014,2014,UKBMS,N
1758,Andrew's Wood,SX704516,270400,51600,925,England,8,3,2014,2016,UKBMS,N
1760,Cookworthy Forest,SS417017,241700,101700,2890,England,10,2,2015,2016,UKBMS,N
1761,Andrew's Wood 3,SX711516,271100,51600,1000,England,7,2,2015,2016,UKBMS,N
1762,Park Farm Kingsbridge,SX734427,273400,42700,1800,England,7,2,2015,2016,UKBMS,N
1763,Sigford,SX777741,277700,74100,1810,England,9,2,2015,2016,UKBMS,N
1764,Clifford Bridge,SX768896,276800,89600,3750,England,11,1,2015,2015,UKBMS,N
1765,Kelley's Cove,SX909501,290900,50100,1500,England,6,1,2016,2016,,N
1766,Dawlish Warren NNR,SX984796,298400,79600,2000,England,12,1,2016,2016,,N
1767,Ashclyst Merry Downs,SY000999,300000,99900,1600,England,1,1,2016,2016,,N
1768,Ashclyst Snaffel Park,SY006996,300600,99600,1700,England,1,1,2016,2016,,N
1769,Ashclyst Caddihoe,SY010999,301000,99900,320,England,1,1,2016,2016,,N
1770,Ashclyst Deadlands,SX995999,299500,99900,1150,England,1,1,2016,2016,,N
1771,Ashclyst White Down,ST005011,300500,101100,1200,England,1,1,2016,2016,,N
1780,Waterleat 2006,SX75307240,275300,72400,930,England,13,11,2006,2016,UKBMS,N
1801,"Bunnys Hill, Cardinham",SX11706760,211700,67600,800,England,10,5,1999,2004,UKBMS,N
1802,"Tuckingmill, St Breward",SX09507750,209500,77500,500,England,8,5,1999,2004,UKBMS,N
1803,Gwithian Common (Green),SW58704130,158700,41300,937,England,8,20,1997,2016,UKBMS,N
1804,Gwithian Towans,SW58404160,158400,41600,,England,,3,1997,1999,UKBMS,N
1805,Gwithian Sandpit,SW58404160,158400,41600,1558,England,9,3,1998,2000,UKBMS,N
1806,Holywell Dunes,SW76605950,176600,59500,,England,,2,1995,1996,UKBMS,N
1807,Godolphin Manor,SW60303230,160300,32300,881,England,10,3,1999,2001,UKBMS,N
1808,Deer Park Wood,SX37807330,237800,73300,2378,England,11,29,1980,2008,UKBMS,N
1809,Greenscombe Wood - Ridge,SX39507250,239500,72500,2000,England,13,36,1981,2016,UKBMS,N
1810,Bodmin Beacon,SX06706650,206700,66500,1843,England,8,4,1999,2003,UKBMS,N
1811,Lundy Bay,SW95807980,195800,79800,2301,England,10,16,2000,2016,UKBMS,N
1812,Valency Valley,SX10809110,210800,91100,100,England,,2,1999,2000,UKBMS,N
1813,"Butterfly Lane (Trewartha, St Ives)",SW51803780,151800,37800,500,England,5,16,2001,2016,UKBMS,N
1814,Marsland,SS21601730,221600,117300,2900,England,,16,1988,2003,UKBMS,N
1815,Welcombe,SS22401840,222400,118400,1300,England,,2,1998,2000,UKBMS,N
1820,Watch House Field & Penlee Battery,SX43504920,243500,49200,1531,England,6,6,2005,2010,UKBMS,N
1821,Steeple Woods,SW518388,151800,38800,750,England,6,8,2009,2016,UKBMS,N
1822,De Lank Quarry,SX103753,210300,75300,,England,7,2,2009,2010,UKBMS,N
1823,Cape Cornwall,SW352318,135200,31800,1505,England,11,2,2009,2012,UKBMS,N
1824,Kenidjack,SW358325,135800,32500,2835,England,14,2,2009,2012,UKBMS,N
1825,Treen Cliffs,SW396223,139600,22300,1575,England,6,2,2009,2012,UKBMS,N
1826,Trevean Farm,SW411356,141100,35600,2231,England,12,1,2009,2009,UKBMS,N
1827,Upton Towans 2010,SW579396,157900,39600,2900,England,10,7,2010,2016,UKBMS,N
1828,Cubert,SW785599,178500,59900,2500,England,4,2,2010,2011,UKBMS,N
1829,Dodman,SX000394,200000,39400,3500,England,9,2,2010,2011,UKBMS,N
1830,Drakewalls Mine,SX424706,242400,70600,550,England,3,6,2010,2016,UKBMS,N
1831,Gaverigan,SW935581,193500,58100,1500,England,2,2,2010,2011,UKBMS,N
1832,"Roskestal West Cliff, Porthgwarra",SW364224,136400,22400,2725,England,8,5,2010,2016,UKBMS,N
1833,Heligan Gardens,SW997464,199700,46400,1402,England,11,2,2011,2012,UKBMS,N
1834,Valency Valley,SX108911,210800,91100,,England,4,2,2010,2011,UKBMS,N
1835,Ruan Lanihorne,SW894420,189400,42000,1050,England,5,5,2012,2016,UKBMS,N
1836,Godolphin Warren,SW599321,159900,32100,2325,England,6,5,2012,2016,UKBMS,N
1837,St Martins Isles of Scilly,SV921162,92100,16200,,England,5,5,2012,2016,UKBMS,N
1838,Cotehele,SX423682,242300,68200,2938,England,14,3,2012,2016,UKBMS,N
1839,Looe Island,SX257514,225700,51400,,England,,4,2013,2016,UKBMS,N
1840,"Erisey Barton, Lizard NNR",SW710180,171000,18000,,England,,3,2013,2015,UKBMS,N
1841,Treluggan Cliffs,SW890378,189000,37800,2000,England,11,4,2013,2016,UKBMS,N
1842,Nare Head,SW918375,191800,37500,1500,England,11,4,2013,2016,UKBMS,N
1843,Little Treleaver,SW761181,176100,18100,1610,England,7,2,2014,2015,UKBMS,N
1844,Valency Valley,SX103913,210300,91300,450,England,3,3,2014,2016,UKBMS,N
1846,Kilkhampton Common,SS246117,224600,111700,2240,England,1,3,2014,2016,UKBMS,N
1847,Allet,SW795485,179500,48500,1000,England,4,3,2014,2016,UKBMS,N
1848,Watch House Field & Penlee Battery (2015 route),SX438490,243800,49000,1531,England,6,2,2015,2016,UKBMS,N
1849,Treen,SW397223,139700,22300,2800,England,10,2,2015,2016,UKBMS,N
1850,Lower Lewdon,SS256095,225600,109500,1058,England,15,2,2015,2016,UKBMS,N
1851,Kilkhampton Common (Fields),SS244118,224400,111800,1300,England,3,2,2015,2016,UKBMS,N
1852,Pentire,SW938800,193800,80000,3500,England,12,2,2015,2016,UKBMS,N
1853,Dodman Point,SX001398,200100,39800,4625,England,15,1,2016,2016,,N
1854,Tidna Valley,SS203147,220300,114700,2656,England,10,1,2016,2016,,N
1855,"The Meadow, Tehidy Country Park",SW637433,163700,43300,636,England,8,1,2016,2016,,N
1856,Treveal,SW471403,147100,40300,2331,England,7,1,2016,2016,,N
1857,Mexico Towans,SW562385,156200,38500,960,England,8,1,2016,2016,,N
1858,Mayon Lookout,SW347262,134700,26200,2159,England,6,1,2016,2016,,N
1859,Foage Farm,SW465375,146500,37500,2197,England,6,1,2016,2016,,N
1860,Porkellis Moor,SW688327,168800,32700,995,England,6,1,2016,2016,,N
1861,Trencrom Hill,SW518362,151800,36200,1592,England,5,1,2016,2016,,N
1900,Forty Hill,TQ340986,534000,198600,,England,4,7,1996,2002,UKBMS,N
1901,Marshalls Heath,TL16101490,516100,214900,2478,England,5,24,1990,2016,UKBMS,N
1902,Colney Heath,TL20300510,520300,205100,,England,6,18,1992,2009,UKBMS,N
1903,Gobians Woodland,TL24600360,524600,203600,2000,England,15,12,1990,2001,UKBMS,N
1904,Aldbury Nowers,SP95201290,495200,212900,1200,England,14,23,1992,2016,UKBMS,N
1905,Beane Hill,TQ19908730,519900,187300,1900,England,10,29,1988,2016,UKBMS,N
1906,Danesbury Park,TL230170,523000,217000,3100,England,9,21,1996,2016,UKBMS,N
1907,Trent Park Country Park,TQ28909720,528900,197200,2205,England,7,11,1998,2016,UKBMS,N
1908,Millhoppers,SP900149,490000,214900,,England,5,16,1998,2016,UKBMS,N
1909,Markyate,TL07401700,507400,217000,4000,England,4,7,1995,2001,UKBMS,N
1910,New House Park,TL16500530,516500,205300,5250,England,6,7,1977,2001,UKBMS,N
1911,Patmore Heath,TL44302570,544300,225700,1800,England,6,21,1996,2016,UKBMS,N
1912,Tring Park,SP930105,493000,210500,1895,England,6,11,1996,2006,UKBMS,N
1913,Smallford,TL19800750,519800,207500,,England,,6,1996,2001,UKBMS,N
1914,Bedfont Lakes,TQ08207270,508200,172700,4050,England,15,9,1996,2010,UKBMS,N
1915,Astonbury Wood,TL27602160,527600,221600,1600,England,15,2,1997,1999,UKBMS,N
1916,Blackbridge,TL19201470,519200,214700,,England,4,3,1996,1998,UKBMS,N
1918,Holcroft Springs,TL14601640,514600,216400,2500,England,4,8,1995,2003,UKBMS,N
1920,"Therfield Heath, Lancaster Hill (5)",TL35304040,535300,240400,,England,3,15,2001,2016,UKBMS,N
1921,Standalone Farm,TL20903380,520900,233800,,England,5,9,1996,2004,UKBMS,N
1922,Fryent Country Park,TQ19508760,519500,187600,3550,England,14,31,1986,2016,UKBMS,N
1925,"Therfield heath, Rifle Range",TL34804010,534800,240100,,England,3,17,1999,2016,UKBMS,N
1926,"Therfield Heath, Top of Rifle Range (2)",TL34903980,534900,239800,,England,5,15,2001,2016,UKBMS,N
1927,"Therfield Heath, Church Hill (3)",TL33303960,533300,239600,,England,3,17,1999,2016,UKBMS,N
1928,"Therfield Heath, Base of Church Hill (4)",TL33303950,533300,239500,,England,2,15,2001,2016,UKBMS,N
1929,Bayfordbury,TL31901030,531900,210300,4200,England,15,7,1994,2000,UKBMS,N
1930,Commons Nature Reserve,TL25801080,525800,210800,,England,13,4,1997,2000,UKBMS,N
1931,Highdown,TL140310,514000,231000,,England,11,5,1996,2001,UKBMS,N
1932,Gutteridge Wood,TQ09108430,509100,184300,1550,England,15,21,1990,2016,UKBMS,N
1933,North Enfield,TQ31609880,531600,198800,3820,England,5,7,1994,2003,UKBMS,N
1934,Knebworth,TL22102080,522100,220800,4250,England,8,15,1996,2010,UKBMS,N
1935,Stevenage,TL24602340,524600,223400,2800,England,12,22,1994,2016,UKBMS,N
1936,Nicky Line,TL11601400,511600,214000,4000,England,8,11,1994,2004,UKBMS,N
1937,The Warren,TL20400530,520400,205300,,England,5,22,1995,2016,UKBMS,N
1938,South Mimms,TL21900040,521900,200400,,England,5,7,1994,2004,UKBMS,N
1939,Tottenham Marsh,TQ35309100,535300,191000,,England,6,3,1997,1999,UKBMS,N
1940,Ware Park,TL34701430,534700,214300,3200,England,14,21,1996,2016,UKBMS,N
1941,Balls Wood,TL34401060,534400,210600,2800,England,10,21,1996,2016,UKBMS,N
1942,Brickett Wood,TL13100090,513100,200900,4100,England,9,19,1997,2016,UKBMS,N
1943,Cranford Park South,TQ10107790,510100,177900,2900,England,9,20,1997,2016,UKBMS,N
1944,Kings Langley,TL06800390,506800,203900,,England,,9,1997,2005,UKBMS,N
1945,Railway Fields,TQ31708810,531700,188100,780,England,3,20,1997,2016,UKBMS,N
1946,Smallford Lake,TL19400710,519400,207100,,England,1,8,1995,2004,UKBMS,N
1947,Stockers Lake,TQ04709350,504700,193500,3000,England,,5,1995,1999,UKBMS,N
1948,Brides Hall Wood,TL20201560,520200,215600,,England,,2,1995,1996,UKBMS,N
1949,Syon Park,TQ17507650,517500,176500,1420,England,,1,1999,1999,UKBMS,N
1950,Clifford Road Allotments,TQ260967,526000,196700,,England,9,12,1994,2005,UKBMS,N
1951,Abney Park Cemetry,TQ33608680,533600,186800,,England,10,4,1999,2002,UKBMS,N
1952,Chestnut Avenue,TL36901520,536900,215200,,England,,7,1997,2003,UKBMS,N
1953,Long Dean,TL00200640,500200,206400,,England,,1,2003,2003,UKBMS,N
1954,Bunkers Park,TL07900580,507900,205800,4160,England,9,12,1999,2010,UKBMS,N
1955,Minet Country Park,TQ10908020,510900,180200,1996,England,7,4,2002,2016,UKBMS,N
1956,Minet Site -British Waterways Land,TQ110795,511000,179500,1396,England,6,3,2002,2004,UKBMS,N
1957,Clay Lane,TQ15309420,515300,194200,,England,12,2,1998,1999,UKBMS,N
1958,Belmont Railway,TQ16308950,516300,189500,,England,12,1,2000,2000,UKBMS,N
1959,Cranebank,TQ10307600,510300,176000,,England,10,5,1999,2004,UKBMS,N
1960,Cranford Park (North),TQ10407850,510400,178500,,England,5,1,1997,1997,UKBMS,N
1961,Elthorne Rough,TQ150790,515000,179000,,England,7,1,2000,2000,UKBMS,N
1962,Elthorne Waterside,TQ15707940,515700,179400,1700,England,10,4,2000,2003,UKBMS,N
1964,Highgate Cemetery,TQ28408710,528400,187100,1733,England,8,2,2002,2003,UKBMS,N
1965,Horsenden Hill - East,TQ16208430,516200,184300,1945,England,11,14,2003,2016,UKBMS,N
1966,Horsendon Hill - West,TQ16308440,516300,184400,1705,England,8,14,2003,2016,UKBMS,N
1967,Roxbourne Rough,TQ120875,512000,187500,,England,11,6,1999,2005,UKBMS,N
1968,Shrubhill Common,TL03600720,503600,207200,2170,England,10,16,2001,2016,UKBMS,N
1969,Telegraph Hill,TL11702880,511700,228800,,England,12,3,2002,2004,UKBMS,N
1970,Tower Hamlets Cemetery,TQ36508230,536500,182300,,England,12,18,1999,2016,UKBMS,N
1971,Waterford Heath North,TL31701540,531700,215400,,England,10,16,2001,2016,UKBMS,N
1972,Birklands Meadow,TL16900510,516900,205100,610,England,,2,2004,2005,UKBMS,N
1973,Brent Reservoir,TQ210870,521000,187000,,England,10,2,2004,2005,UKBMS,N
1974,Long Green,TL00500650,500500,206500,,England,8,4,1996,1999,UKBMS,N
1975,Manor Crescent,TL19602850,519600,228500,,England,10,3,2003,2005,UKBMS,N
1976,Northaw Great Wood,TL280040,528000,204000,,England,5,7,2003,2010,UKBMS,N
1977,Miswell lane,SP91201170,491200,211700,,England,10,15,1999,2016,UKBMS,N
1978,Pishiobury Park,TL47701380,547700,213800,,England,11,3,2003,2005,UKBMS,N
1979,Templewood,TL23501430,523500,214300,,England,4,3,2003,2005,UKBMS,N
1980,Long Deans,TL07300480,507300,204800,1700,England,3,2,2003,2004,UKBMS,N
1981,Gunnersbury,TQ20107360,520100,173600,,England,14,12,2004,2016,UKBMS,N
1982,Lemsford Springs,TL22301210,522300,212100,,England,6,12,2004,2016,UKBMS,N
1983,Oughtonhead,TL16903030,516900,230300,,England,4,5,2004,2009,UKBMS,N
1984,Pryors Wood,TL26502650,526500,226500,1400,England,5,13,2004,2016,UKBMS,N
1985,Regents Canal,TQ36308240,536300,182400,,England,,5,2001,2009,UKBMS,N
1986,Regents Park,TQ28108280,528100,182800,0,England,,2,2004,2005,UKBMS,N
1987,Kenwood Estate,TQ27108740,527100,187400,2350,England,13,9,2005,2014,UKBMS,N
1988,Sherrards Park Wood (Templewood),TL230139,523000,213900,0,England,,1,2004,2004,UKBMS,N
1989,Bishops Stortford Southern Country Park,TL47301930,547300,219300,1800,England,9,13,2004,2016,UKBMS,N
1990,Sherrards Park Reddings,TL230135,523000,213500,,England,5,5,2004,2009,UKBMS,N
1991,Perivale Wood,TQ15908370,515900,183700,1210,England,10,12,2005,2016,UKBMS,N
1992,Wood Lane Pirton,TL145310,514500,231000,,England,5,9,2008,2016,UKBMS,N
1993,Mardley Heath,TL24801840,524800,218400,2480,England,10,10,2006,2016,UKBMS,N
1994,Northaw Great Wood Bridleway,TL28500430,528500,204300,,England,9,4,2006,2010,UKBMS,N
1995,Camley Street Natural Park,TQ299834,529900,183400,425,England,13,2,2010,2011,UKBMS,N
1997,Tring Park (new),SP930105,493000,210500,,England,3,5,2006,2010,UKBMS,N
1998,Templewood (new),TL23501430,523500,214300,,England,7,10,2007,2016,UKBMS,N
