Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type,PRIVATE
1037,Wendleholme,SU49400730,449400,107300,1800,England,11,18,1987,2004,UKBMS,N
1038,Westbury House Park,SU660235,466000,123500,1529,England,,12,1993,2005,UKBMS,N
1039,Winnall Moors,SU48803050,448800,130500,4000,England,12,23,1987,2016,UKBMS,N
1040,Yew Hill,SU45402650,445400,126500,1220,England,6,27,1990,2016,UKBMS,N
1041,Conford Moor,SU82303300,482300,133000,1057,England,7,3,1996,1998,UKBMS,N
1043,Ashford Hangers 2,SU73502640,473500,126400,500,England,,7,1993,2001,UKBMS,N
1044,Botley Wood 1,SU54501000,454500,110000,2900,England,11,22,1995,2016,UKBMS,N
1045,Botley Wood 2,SU54200970,454200,109700,1200,England,7,6,1999,2004,UKBMS,N
1046,Brading Quarries,SZ60108660,460100,86600,1400,England,10,13,1997,2009,UKBMS,N
1047,Browndown North,SZ58209970,458200,99700,1800,England,8,7,1997,2012,UKBMS,N
1048,Brownwich & Chilling,SU51500400,451500,104000,2800,England,12,16,1989,2004,UKBMS,N
1049,Catherington Down,SU69201440,469200,114400,3033,England,9,22,1995,2016,UKBMS,N
1050,Crabtree,SU66305190,466300,151900,1900,England,10,18,1999,2016,UKBMS,N
1051,Crab Wood,SU43802950,443800,129500,550,England,7,19,1986,2016,UKBMS,N
1052,Crowdhill Copse,SU48901980,448900,119800,2757,England,9,16,1993,2008,UKBMS,N
1053,Drayton Down,SU67202250,467200,122500,1200,England,,7,1998,2005,UKBMS,N
1054,Firestone Copse,SZ55509080,455500,90800,1700,England,10,29,1988,2016,UKBMS,N
1055,The Gillies,SU57200590,457200,105900,1300,England,8,24,1993,2016,UKBMS,N
1056,Ham Green Common,SU43903070,443900,130700,1700,England,,10,1996,2005,UKBMS,N
1057,Leckford-A,SU37503750,437500,137500,,England,10,19,1988,2016,UKBMS,N
1058,Leckford-J,SU38203570,438200,135700,1610,England,10,27,1989,2016,UKBMS,N
1059,Old Burghclere Lime Quarry,SU47305740,447300,157400,1100,England,9,11,1988,2007,UKBMS,N
1060,Pignal Inclosure,SU31500400,431500,104000,600,England,7,19,1998,2016,UKBMS,N
1061,Royal Victoria CP,SU46500780,446500,107800,4138,England,7,10,1996,2005,UKBMS,N
1063,Whippingham (fields),SZ510933,451000,93300,3650,England,11,19,1998,2016,UKBMS,N
1064,Whippingham (Woodhouse),SZ530930,453000,93000,950,England,11,16,1998,2013,UKBMS,N
1065,Wick Wood,SU75803530,475800,135300,3056,England,12,21,1995,2016,UKBMS,N
1066,Culver Down,SZ63508550,463500,85500,1500,England,10,4,1992,1995,UKBMS,N
1067,Medina Valley Centre,SZ50309090,450300,90900,367,England,10,26,1988,2016,UKBMS,N
1068,Emer Bog,SU39702150,439700,121500,1700,England,10,6,1992,2004,UKBMS,N
1069,Bishops Waltham Moors,SU560170,456000,117000,1900,England,13,6,1991,1997,UKBMS,N
1070,Itchen Valley CP Woods,SU46901670,446900,116700,1100,England,8,25,1992,2016,UKBMS,N
1071,"Sandy Top, Fordingbridge",SU13301460,413300,114600,,England,,12,1994,2005,UKBMS,N
1072,Chilworth,SU40401850,440400,118500,1950,England,7,5,1991,1995,UKBMS,N
1073,Farlington Marshes Route B,SU68800520,468800,105200,1286,England,6,18,1993,2016,UKBMS,N
1074,Farlington Marshes Route C,SU68200430,468200,104300,1715,England,6,18,1993,2016,UKBMS,N
1075,Roydon Woods - Bakers,SU31700160,431700,101600,2979,England,15,30,1985,2016,UKBMS,N
1076,Roydon Woods - Calveslease,SU32200010,432200,100100,1461,England,11,23,1990,2012,UKBMS,N
1077,Roydon Woods - Newlands,SU32200090,432200,100900,1014,England,12,18,1987,2004,UKBMS,N
1078,Roydon Woods - Sheffield,SZ33209970,433200,99700,760,England,7,4,1997,2000,UKBMS,N
1079,Roydon Woods - Woodhouse,SU310004,431000,100400,1737,England,11,20,1984,2003,UKBMS,N
1080,Bartley Heath Cross Lines Walk,SU72605340,472600,153400,8000,England,10,21,1983,2003,UKBMS,N
1081,Bartley Heath New 1,SU72905350,472900,153500,4600,England,10,21,1996,2016,UKBMS,N
1082,Bartley Heath New 2,SU72405260,472400,152600,2300,England,10,5,1997,2001,UKBMS,N
1083,Roydon Woods - Southern Fields,SZ31709960,431700,99600,2842,England,15,16,2000,2016,UKBMS,N
1084,The Dongas,SU490276,449000,127600,1391,England,8,9,1997,2014,UKBMS,N
1085,Millfield,SU46603290,446600,132900,185,England,12,9,2002,2010,UKBMS,N
1086,Parkhurst Forest 2,SZ47209120,447200,91200,4400,England,11,7,2001,2007,UKBMS,N
1087,Parkhurst Forest 3,SZ46809150,446800,91500,,England,11,7,2001,2007,UKBMS,N
1088,Bushfield Camp,SU470275,447000,127500,,England,,3,2001,2005,UKBMS,N
