Species,Common name,Year,No. sites,Collated Index,Time period
Thymelicus sylvestris,Small Skipper,1976,25,2.03,1976-2013
Thymelicus sylvestris,Small Skipper,1977,39,2.04,1976-2013
Thymelicus sylvestris,Small Skipper,1978,43,1.83,1976-2013
Thymelicus sylvestris,Small Skipper,1979,50,2.09,1976-2013
Thymelicus sylvestris,Small Skipper,1980,56,2.06,1976-2013
Thymelicus sylvestris,Small Skipper,1981,59,2.27,1976-2013
Thymelicus sylvestris,Small Skipper,1982,60,2.42,1976-2013
Thymelicus sylvestris,Small Skipper,1983,67,2.34,1976-2013
Thymelicus sylvestris,Small Skipper,1984,73,2.5,1976-2013
Thymelicus sylvestris,Small Skipper,1985,77,2.25,1976-2013
Thymelicus sylvestris,Small Skipper,1986,82,2.27,1976-2013
Thymelicus sylvestris,Small Skipper,1987,92,2.04,1976-2013
Thymelicus sylvestris,Small Skipper,1988,99,1.98,1976-2013
Thymelicus sylvestris,Small Skipper,1989,113,2.19,1976-2013
Thymelicus sylvestris,Small Skipper,1990,124,2.11,1976-2013
Thymelicus sylvestris,Small Skipper,1991,136,2.3,1976-2013
Thymelicus sylvestris,Small Skipper,1992,152,2.28,1976-2013
Thymelicus sylvestris,Small Skipper,1993,167,2.13,1976-2013
Thymelicus sylvestris,Small Skipper,1994,178,2.26,1976-2013
Thymelicus sylvestris,Small Skipper,1995,212,2.23,1976-2013
Thymelicus sylvestris,Small Skipper,1996,229,2.23,1976-2013
Thymelicus sylvestris,Small Skipper,1997,252,2.07,1976-2013
Thymelicus sylvestris,Small Skipper,1998,259,1.83,1976-2013
Thymelicus sylvestris,Small Skipper,1999,275,2,1976-2013
Thymelicus sylvestris,Small Skipper,2000,336,2.03,1976-2013
Thymelicus sylvestris,Small Skipper,2001,311,2,1976-2013
Thymelicus sylvestris,Small Skipper,2002,367,1.88,1976-2013
Thymelicus sylvestris,Small Skipper,2003,446,1.97,1976-2013
Thymelicus sylvestris,Small Skipper,2004,443,1.71,1976-2013
Thymelicus sylvestris,Small Skipper,2005,462,1.76,1976-2013
Thymelicus sylvestris,Small Skipper,2006,552,1.7,1976-2013
Thymelicus sylvestris,Small Skipper,2007,654,1.55,1976-2013
Thymelicus sylvestris,Small Skipper,2008,680,1.58,1976-2013
Thymelicus sylvestris,Small Skipper,2009,879,1.71,1976-2013
Thymelicus sylvestris,Small Skipper,2010,937,1.63,1976-2013
Thymelicus sylvestris,Small Skipper,2011,998,1.64,1976-2013
Thymelicus sylvestris,Small Skipper,2012,1030,1.55,1976-2013
