Species,Common name,Year,No. sites,Collated Index,Time period
Thymelicus lineola/sylvestris,Essex/Small Skipper,1976,32,1.91,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1977,45,1.95,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1978,48,1.81,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1979,59,2.04,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1980,59,1.91,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1981,68,2.11,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1982,70,2.28,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1983,68,2.22,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1984,78,2.34,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1985,81,2.09,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1986,88,2.11,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1987,97,1.98,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1988,107,1.93,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1989,124,2.09,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1990,142,1.98,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1991,156,2.19,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1992,174,2.21,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1993,192,2.08,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1994,213,2.21,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1995,254,2.17,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1996,274,2.23,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1997,296,2.08,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1998,320,1.87,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,1999,337,1.99,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,2000,412,1.99,1976-2014
Thymelicus lineola/sylvestris,Essex/Small Skipper,2001,391,2,1976-2014
