Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Licence Category,Shellfish  licence (Y/N),Scallop licence (Y/N)
OBAN,OBAN,UL144,KYRENE,A13735,44601,NON-SECTOR,11.91,17.17,64,77.393,1973,W,GBR,OVER 10 METRE,Y,N
OBAN,OBAN,UL72,CEANOTHUS,A13689,40369,NON-SECTOR,11,15.47,80,82.75,1971,W,GBR,OVER 10 METRE,Y,Y
OBAN,PORT ELLEN,OB11,PIONEER,B11133,11364,NON-SECTOR,11.9,11.44,298,181.105,1990,F,GBR,OVER 10 METRE,Y,N
OBAN,TOBERMORY (ISLE OF MULL),OB19,MARY MANSON,A19841,40834,NON-SECTOR,17.8,40,129.9,155.465,1970,W,GBR,OVER 10 METRE,N,Y
OBAN,TOBERMORY (ISLE OF MULL),OB461,DAWN TREADER,A13119,44492,NON-SECTOR,11.1,16.09,134,111.249,1988,W,GBR,OVER 10 METRE,Y,N
OBAN,UNKNOWN,CN53,ZOLEE,C19050,41111,WEST OF SCOTLAND FPO LTD,11.8,9.52,316,201.2,2007,F,GBR,OVER 10 METRE,Y,N
OBAN,UNKNOWN,OB23,CHALLENGE,A10758,44135,SCOTTISH FISHERMENS ORGANISATION,19.81,137,328,283.695,1986,W,GBR,OVER 10 METRE,N,N
OBAN,UNKNOWN,OB695,SHEENA GRACE,B14120,50229,NON-SECTOR,11.4,15.19,112,98.394,1994,F,GBR,OVER 10 METRE,Y,N
OBAN,UNKNOWN,SY46,FRAOCH GEAL,A18715,41749,NON-SECTOR,10.93,11.65,97,87.917,1980,F,,OVER 10 METRE,Y,N
PETERHEAD,FRASERBURGH,PD120,HARVEST HOPE,C16593,41092,ANGLO-SCOTTISH FPO LTD,34.08,604,1320,910.944,1999,S,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,FR111,ENDURANCE,A10546,40043,SCOTTISH FISHERMENS ORGANISATION,24.45,171,415.5,356.169,1984,W,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,FR273,OCEAN REAPER IV,C16530,40906,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,21.3,189,526,382.818,1999,W,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,FR559,KARENANN II,A10105,40004,ABERDEEN FPO LTD,23.98,193,447,367.811,1981,S,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,FR59,GOLDEN GAIN V,B10863,40758,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,25.71,222,527,426.376,1989,S,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,INS237,ACORN,A11803,44329,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,25.94,177,428,383.259,1980,S,DNK,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,LH356,HENK SENIOR,C20969,42126,THE FIFE FPO LTD,28.62,388,749,623.25,2017,S,ESP,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD1022,EVENING STAR,B12131,44740,NON-SECTOR,21.34,160,466,357.586,1991,S,GBR,OVER 10 METRE,N,Y
PETERHEAD,PETERHEAD,PD109,FRUITFUL BOUGH,C18082,44307,SCOTTISH FISHERMENS ORGANISATION,19.9,195,401,325.72,2004,S,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD135,MOREMMA,A24548,41158,ABERDEEN FPO LTD,22.95,172,480,378.257,1988,W,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD147,ENTERPRISE,B14092,40652,NORTH SEA FISHERMENS ORGANISATION LTD,44.94,748,1850,1248.195,1995,S,NLD,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD17,FAVONIUS,C19616,41215,SCOTTISH FISHERMENS ORGANISATION,23,215.24,480,395.4,2009,S,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD177,AMITY II,B14102,44780,SCOTTISH FISHERMENS ORGANISATION,21.23,132,357,299.07,1989,S,OTH,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD182,OCEAN BOUNTY,C16198,41026,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,24.26,266,738,517.204,1998,S,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD197,ATLANTIC CHALLENGE,C16305,40888,SCOTTISH FISHERMENS ORGANISATION,40,611,1960,1302,1999,S,GBR,DEEP SEA SPECIES,N,N
PETERHEAD,PETERHEAD,PD197,ATLANTIC CHALLENGE,C16305,40888,SCOTTISH FISHERMENS ORGANISATION,40,611,1960,1302,1999,S,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD198,OCEAN HARVEST,C19310,41130,LUNAR GROUP,28.35,349,671,545.76,2008,S,DNK,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD303,SHALIMAR II,A13161,44499,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,26.55,246,634,480.443,1988,S,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD379,QUANTUS,C19284,41134,SCOTTISH FISHERMENS ORGANISATION,65.48,2084,5772,3527.216,2008,S,NOR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD400,BENARKLE II,C20604,41731,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,23.95,229,493,396.685,2014,S,GBR,OVER 10 METRE,N,Y
PETERHEAD,PETERHEAD,PD418,BUDDING ROSE,B11593,44729,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,24.54,192,537.31,418.478,1990,S,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD43,ANNEGINA,B13488,44760,NORTH SEA FISHERMENS ORGANISATION LTD,42,477,1790,1183.5,1984,S,NLD,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD50,GOLDEN SCEPTRE,C19621,44507,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,21.22,186,480,364.54,2010,S,,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD625,OCEAN ENDEAVOUR,B13084,40846,SCOTTISH FISHERMENS ORGANISATION,30.5,370,885,663.6,1992,S,GBR,DEEP SEA SPECIES,N,N
PETERHEAD,PETERHEAD,PD625,OCEAN ENDEAVOUR,B13084,40846,SCOTTISH FISHERMENS ORGANISATION,30.5,370,885,663.6,1992,S,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD67,ANITRA,A13823,40349,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,11.29,12.95,82,80.254,1980,F,GBR,OVER 10 METRE,Y,N
PETERHEAD,PETERHEAD,PD96,OPPORTUNUS IV,C19096,42172,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,19.95,153.1,492,367.035,2007,S,DNK,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD97,SUMMER DAWN II,A24617,40395,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,23.47,230,500,398.209,1988,S,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD972,LAPWING,A11479,44226,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,24.35,144,421,352.839,1973,S,GBR,OVER 10 METRE,N,N
PETERHEAD,PETERHEAD,PD98,HARVESTER,C19308,41129,LUNAR GROUP,28.35,349,671,545.76,2008,S,DNK,DEEP SEA SPECIES,N,N
PETERHEAD,PETERHEAD,PD98,HARVESTER,C19308,41129,LUNAR GROUP,28.35,349,671,545.76,2008,S,DNK,OVER 10 METRE,N,N
PETERHEAD,UNKNOWN,FR220,FAITHLIE,C20952,42156,ABERDEEN FPO LTD,27.5,275,578,471.85,2016,S,DNK,OVER 10 METRE,N,N
PETERHEAD,UNKNOWN,INS127,ARDENT,A11729,12143,ABERDEEN FPO LTD,26.54,251,428,391.65,1987,S,GBR,OVER 10 METRE,N,N
PETERHEAD,UNKNOWN,PD165,PATHWAY,C20965,42132,LUNAR GROUP,78.75,2935,5220,3569.625,2017,S,DNK,OVER 10 METRE,N,Y
PETERHEAD,UNKNOWN,PD174,CONSORTIUM,A24579,40394,SCOTTISH FISHERMENS ORGANISATION,21.34,165.42,399,323.595,1987,W,GBR,OVER 10 METRE,N,N
PETERHEAD,UNKNOWN,PD289,FOREVER FAITHFUL,C20787,42000,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,21.5,204,447,353.8,2015,S,GBR,OVER 10 METRE,N,N
PETERHEAD,UNKNOWN,PD340,OCEAN VENTURE IV,A10247,11465,NON-SECTOR,13.4,35.56,221,166.45,1983,S,GBR,OVER 10 METRE,N,Y
PETERHEAD,UNKNOWN,PD35,TRANQUILITY,C20785,41845,ANGLO-SCOTTISH FPO LTD,25.56,242.1,578,456.912,2012,S,DNK,OVER 10 METRE,N,N
PETERHEAD,UNKNOWN,PD363,MAUREEN JUNE,A13899,42074,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,26.61,235,470,411.075,1986,S,GBR,OVER 10 METRE,Y,N
PETERHEAD,UNKNOWN,PD365,KINGS CROSS,C20913,42031,LUNAR GROUP,78.75,2935,5220,3569.625,2016,S,DNK,OVER 10 METRE,N,N
PETERHEAD,UNKNOWN,PD797,RESOLUTION,A13779,44607,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,18.25,106,328,267.685,1982,S,GBR,CATEGORY A,N,N
PETERHEAD,UNKNOWN,PD965,OPPORTUNE,C16541,42131,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,26.5,299,494,434.3,1998,S,GBR,OVER 10 METRE,N,N
PITTENWEEM,ANSTRUTHER,KY989,SHALIMAR,A12043,44347,ANGLO-SCOTTISH FPO LTD,12.19,13.92,70,81.601,1970,W,GBR,OVER 10 METRE,N,N
PITTENWEEM,FOLKESTONE,KY279,WINAWAY,A16816,10445,THE FIFE FPO LTD,11.4,20.99,179,132.42,1988,F,GBR,OVER 10 METRE,N,N
PITTENWEEM,PITTENWEEM,BU37,LILACINA,A24607,11208,NON-SECTOR,11.28,12.14,82,85.066,1980,F,GBR,OVER 10 METRE,N,N
PITTENWEEM,PITTENWEEM,DE41,TWA GORDONS,A10737,50021,NON-SECTOR,16.52,47,244,199.338,1970,W,GBR,OVER 10 METRE,N,N
PITTENWEEM,PITTENWEEM,KY239,VENTURE AGAIN II,C16448,41943,THE FIFE FPO LTD,13.65,27.5,208,164.58,1998,S,GBR,OVER 10 METRE,N,N
PITTENWEEM,PITTENWEEM,KY250,SANELA,B10026,40510,THE FIFE FPO LTD,11.85,24.2,186.5,140.213,1989,S,GBR,OVER 10 METRE,N,Y
PITTENWEEM,PITTENWEEM,KY374,LAUNCH OUT,A12224,42435,THE FIFE FPO LTD,17.2,40,128,159.768,1966,W,UNK,CATEGORY A,N,N
PITTENWEEM,UNKNOWN,BF247,SPARKLING STAR III,C18266,42418,NORTHERN PRODUCERS ORGANISATION LTD,14.95,52.95,156.66,158.702,2004,S,GBR,CATEGORY A,N,N
PITTENWEEM,UNKNOWN,BF80,RELIANCE,A10745,12002,NORTHERN PRODUCERS ORGANISATION LTD,18.11,126,530,363.097,1988,W,GBR,OVER 10 METRE,N,N
PITTENWEEM,UNKNOWN,FR470,NEW DAWN,C18094,50324,NORTHERN PRODUCERS ORGANISATION LTD,14.95,52.63,339,245.988,2004,W,GBR,OVER 10 METRE,N,N
PITTENWEEM,UNKNOWN,KY77,ENDURANCE,A10793,40471,SCOTTISH FISHERMENS ORGANISATION,16.48,52,202,180.716,1974,W,GBR,OVER 10 METRE,N,N
PITTENWEEM,UNKNOWN,LH254,JANREEN,B10945,44706,NORTHERN IRELAND FPO LTD,11.9,16.83,89.00,94.433,1968,W,GBR,OVER 10 METRE,N,N
PITTENWEEM,UNKNOWN,SR10,FREM W,C19077,11435,ORKNEY FPO LTD,13.4,20.53,240,168.3,1981,W,DNK,OVER 10 METRE,N,N
PITTENWEEM,UNKNOWN,TT267,SCOTIA STAR,C18093,42449,SCOTTISH FISHERMENS ORGANISATION,11.87,18.16,147,119.802,2003,S,GBR,OVER 10 METRE,N,N
PLYMOUTH,APPLEDORE,BD11,CEOL NA MARA B,A22016,11450,NON-SECTOR,11,14.75,134,106.5,1988,F,,CATEGORY C,Y,N
PLYMOUTH,BIDEFORD,BD207,OUR DYLAN BEN,C20644,12924,CORNISH FPO LTD,11.98,25.45,186,149.59,2015,S,GBR,CATEGORY A,N,Y
PLYMOUTH,BIDEFORD,BD267,LADY OF LUNDY,C19205,13018,NON-SECTOR,11.95,11.69,126,114.896,2007,F,GBR,CATEGORY C,Y,N
PLYMOUTH,BRACADALE,FY66,LUCY TOO,B11255,12468,SOUTH WESTERN FPO LTD,10.9,12.47,164,122.087,1989,W,GBR,CATEGORY A,N,N
PLYMOUTH,DARTMOUTH,DH100,EDWARD HENRY,C17553,11869,NON-SECTOR,25.5,279,637.38,491.331,2002,S,ESP,CATEGORY C,Y,N
PLYMOUTH,DARTMOUTH,DH23,HANNAH BETH II,A23725,12795,NON-SECTOR,11.96,24.87,128.33,112.406,1986,F,GBR,CATEGORY A,N,N
PLYMOUTH,GUERNSEY,GU116,AMY BLUE,G00489,12436,NON-SECTOR,14.33,32.13,221,172.246,1993,U,IRL,CATEGORY A,N,Y
PLYMOUTH,GUERNSEY,GU219,D-IMMP,G00323,11560,NON-SECTOR,10.73,6.73,89.73,82.226,1972,U,GBR,CATEGORY A,N,N
PLYMOUTH,GUERNSEY,GU355,HAYLEY B,G00218,12482,NON-SECTOR,10.78,16.78,169,119.493,1988,F,GBR,CATEGORY C,Y,N
PLYMOUTH,GUERNSEY,GU399,SARAH-P,G00335,11536,NON-SECTOR,14.32,38.86,223.8,175.747,1989,F,GBR,CATEGORY C,Y,N
PLYMOUTH,ILFRACOMBE,BD277,OUR OLIVIA BELLE,C18597,11956,CORNISH FPO LTD,14.95,73.35,358,254.089,2005,S,GBR,CATEGORY A,N,N
PLYMOUTH,ILFRACOMBE,BD4,OUR JENNY,C19884,12591,NON-SECTOR,11.75,12.97,220,150.7,2011,F,GBR,CATEGORY A,Y,N
PLYMOUTH,ILFRACOMBE,BD88,GREEN EYE,C20448,50312,NON-SECTOR,11.6,13.9,220,145.516,2013,F,GBR,CATEGORY C,Y,N
PLYMOUTH,JERSEY,J115,SUNSTRIKER,J10074,12045,NON-SECTOR,11.99,19.38,559.5,304.531,1972,U,NOR,CATEGORY C,N,N
PLYMOUTH,JERSEY,J189,PROSPECTOR,J10073,50281,ANGLO-NORTH IRISH FPO LTD,16.95,48.73,221,192.167,1974,U,GBS,CATEGORY A,N,Y
PLYMOUTH,JERSEY,J2,GOLDEN GRAIN,J10019,11586,NON-SECTOR,11.58,19.05,112,102.973,1974,U,FRA,CATEGORY C,Y,N
PLYMOUTH,JERSEY,J204,ANN VIRGINIA,J10026,11593,NON-SECTOR,10.73,16.07,108.13,93.832,1978,U,UNK,CATEGORY C,Y,N
PLYMOUTH,JERSEY,J444,PROGRESS,J10043,11763,NON-SECTOR,11.8,23.1,169.34,131.073,1989,U,GBR,CATEGORY A (ISLAND VESSELS),N,Y
PLYMOUTH,JERSEY,J444,PROGRESS,J10043,11763,NON-SECTOR,11.8,23.1,169.34,131.073,1989,U,GBR,CATEGORY C,N,Y
PLYMOUTH,JERSEY,J486,MARIE GALANTE,J10216,12181,NON-SECTOR,11.9,17.72,175.31,131.249,1970,U,FRA,CATEGORY A,N,Y
PLYMOUTH,JERSEY,J55,FULLBORE II,J10053,11951,NON-SECTOR,11.99,20.46,746,396.01,1995,U,GBR,CATEGORY C,Y,N
PLYMOUTH,LOOE,FY221,SWIFTSURE II,C20586,11091,CORNISH FPO LTD,13.87,28.76,205,163.264,2014,F,GBR,CATEGORY A,Y,N
PLYMOUTH,LOOE,FY24,ELLA,B10572,11296,CORNISH FPO LTD,11.3,17.89,221,148.605,1989,F,GBR,CATEGORY A,N,N
PLYMOUTH,LOOE,FY28,GUARDIAN,C20452,12451,CORNISH FPO LTD,11.95,22.32,220,161.499,2013,F,GBR,CATEGORY A,Y,Y
PLYMOUTH,LOOE,FY369,PARAVEL,A17363,11878,SOUTH WESTERN FPO LTD,10.88,16.48,187,133.219,1979,W,GBR,CATEGORY A,N,
PLYMOUTH,LOOE,FY38,MAXINES PRIDE,A17180,10480,CORNISH FPO LTD,11.89,26.26,221,159.732,1984,W,GBR,CATEGORY A,N,N
PLYMOUTH,LOOE,FY602,NATALIE,B11885,11441,CORNISH FPO LTD,11.35,18.97,178,128.338,1990,F,GBR,CATEGORY A,N,N
