Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Licence Category,Shellfish  licence (Y/N),Scallop licence (Y/N)
PLYMOUTH,PLYMOUTH,PH1100,WIRON 5,C20514,12480,INTERFISH,50.63,1230,2191,1573.258,2002,S,,CLYDE HERRING,N,N
PLYMOUTH,PLYMOUTH,PH122,BOSLOE,A21056,10855,NON-SECTOR,14.39,23.59,95,108.512,1966,W,GBR,CATEGORY A,Y,N
PLYMOUTH,PLYMOUTH,PH215,BOY ETHAN,B10872,44584,SOUTH WESTERN FPO LTD,14.45,37.16,163,149.935,1977,S,FRA,CATEGORY A,N,Y
PLYMOUTH,PLYMOUTH,PH2200,WIRON 6,C20515,12481,INTERFISH,50.63,1230,2191,1573.258,2002,S,,BLUE WHITING,N,N
PLYMOUTH,PLYMOUTH,PH2200,WIRON 6,C20515,12481,INTERFISH,50.63,1230,2191,1573.258,2002,S,,CATEGORY A (PELAGIC),N,N
PLYMOUTH,PLYMOUTH,PH2200,WIRON 6,C20515,12481,INTERFISH,50.63,1230,2191,1573.258,2002,S,,CLYDE HERRING,N,N
PLYMOUTH,PLYMOUTH,PH330,ADMIRAL GORDON,B10214,11260,INTERFISH,22.21,137,220,248.251,1988,S,NLD,CATEGORY A (PELAGIC),N,N
PLYMOUTH,PLYMOUTH,PH411,SILVER STREAM,A21227,10868,SOUTH WESTERN FPO LTD,14.55,36.17,119,124.845,1966,W,FRA,CATEGORY A,N,N
PLYMOUTH,PLYMOUTH,PH440,ADMIRAL BLAKE,B10536,11293,INTERFISH,22.2,136,220,248.184,1989,S,NLD,CATEGORY A (PELAGIC),N,N
PLYMOUTH,PLYMOUTH,PH550,ADMIRAL GRENVILLE,C17302,11856,INTERFISH,23.97,152,220,263.434,2001,S,NLD,CATEGORY A,N,N
PLYMOUTH,PLYMOUTH,PH660,CHARLOTTE CLARE,C20647,12592,INTERFISH,14.95,71.42,353,251.54,2015,F,GBR,CATEGORY A,N,N
PLYMOUTH,PLYMOUTH,PH770,RACHEL ANNE,C20788,12718,INTERFISH,14.95,71.42,353,251.54,2015,F,GBR,CATEGORY A,N,N
PLYMOUTH,PLYMOUTH,PH97,STELLA MARIS OF NEWQUAY,A12976,40277,NON-SECTOR,14.99,40.73,134,141.246,1968,W,GBR,CATEGORY A,N,Y
PLYMOUTH,PLYMOUTH,PZ660,NICOLA MAY,C20457,12399,INTERFISH,14.98,26.65,158,143.004,1969,W,FRA,CATEGORY A,N,N
PLYMOUTH,PLYMOUTH,RX39,LISA ANN,B10895,11340,SOUTH WESTERN FPO LTD,12.83,26.91,186.00,142.077,1989,S,GBR,CATEGORY A,N,Y
PLYMOUTH,PLYMOUTH,SU516,SPIRITED LADY III,C20449,12421,CORNISH FPO LTD,12.95,23.61,221,170.675,2013,S,GBR,CATEGORY A,N,N
PLYMOUTH,PLYMOUTH,TH24,MIDNIGHT SUN,B14632,10997,NON-SECTOR,11.99,27.67,160.39,127.329,1996,F,GBR,CATEGORY A,N,N
PLYMOUTH,PLYMOUTH,TH420,AMANDA JANE,C17808,70932,NON-SECTOR,11.25,19.24,130,106.2,1984,F,GBR,CATEGORY A,Y,N
PLYMOUTH,SALCOMBE,BD288,NEMO,C19592,12461,NON-SECTOR,12.83,13.33,253,162.989,2004,F,IRL,CATEGORY C,Y,N
PLYMOUTH,SALCOMBE,DH95,TENACIOUS,A16357,10380,NON-SECTOR,14.97,31.72,131,136.495,1975,W,GBR,CATEGORY A,Y,N
PLYMOUTH,SALCOMBE,MR1,INNOVATOR,B13914,11523,NON-SECTOR,13.98,30.36,224,176.152,1993,S,GBR,CATEGORY C,Y,N
PLYMOUTH,SALCOMBE,SE101,EMMA JANE,B11100,11362,NON-SECTOR,18.35,122,317,254.952,1989,S,NLD,CATEGORY C,Y,N
PLYMOUTH,SALCOMBE,SE150,CLAIRE LOUISE,B13209,12330,NON-SECTOR,11.9,17.62,94,96.802,1978,W,GBR,CATEGORY A,Y,N
PLYMOUTH,SALCOMBE,SE34,PEN GLAS,A22552,11025,NON-SECTOR,18.4,62,216,211.28,1960,W,FRA,CATEGORY C,Y,N
PLYMOUTH,SALCOMBE,SE362,WILLIAM MARSHALL,A18225,10644,NON-SECTOR,11.55,15.2,94.74,98.304,1983,W,GBR,CATEGORY C,Y,N
PLYMOUTH,SALCOMBE,SE58,GEORGE EDWIN,A22563,11832,NON-SECTOR,10.5,11.21,99.5,90.555,1987,W,GBR,CATEGORY A,Y,Y
PLYMOUTH,SHOREHAM-BY-SEA,J158,L'ECUME II,J10032,12030,SOUTH WESTERN FPO LTD,18.54,65.76,220,207.83,1968,U,FRA,CATEGORY A,N,N
PLYMOUTH,TEIGNMOUTH,J612,LA VAGABONDE DES MER,G10014,11547,NON-SECTOR,17.68,62.97,335.7,254.67,1969,W,FRA,CATEGORY C,Y,N
PLYMOUTH,UNKNOWN,E33,WILLIAM OF LADRAM,C20771,12668,SOUTH WESTERN FPO LTD,30.55,213,749,560.065,1980,S,NLD,CATEGORY A,N,Y
PLYMOUTH,UNKNOWN,J1,VANDEN-PLAS,J10329,12763,NON-SECTOR,10.6,14.4,119.36,94.734,,U,,CATEGORY C,Y,Y
PLYMOUTH,UNKNOWN,J38,CYNTHIA MARY II,J10348,12897,NON-SECTOR,11.98,20.69,219,156.893,2009,U,GBJ,CATEGORY C,Y,N
PLYMOUTH,UNKNOWN,LT1048,KINDRED SPIRIT,C20985,12846,CORNISH FPO LTD,13,25.95,172,149.68,2017,U,,CATEGORY A,N,Y
PLYMOUTH,UNKNOWN,LT3,RADIANCE,C19881,12508,SOUTH WESTERN FPO LTD,14,36.69,221,176.45,2011,S,GBR,CATEGORY A,N,N
PLYMOUTH,UNKNOWN,PH29,JOYFUL SPIRIT,C21109,13095,CORNISH FPO LTD,11.95,25.09,221,165.175,2018,S,GBR,CATEGORY A,N,N
PLYMOUTH,UNKNOWN,PW1,BERLEWEN,C17832,11867,SOUTH WESTERN FPO LTD,14.97,45.73,205,180.573,2002,,GBR,CATEGORY A,Y,Y
PLYMOUTH,VIGO,FH725,MANUEL LAURA,C18281,10285,WALES AND WEST COAST FPO LTD,36,338,721,612.45,2004,S,ESP,CATEGORY A,N,N
PLYMOUTH,VIGO,FH725,MANUEL LAURA,C18281,10285,WALES AND WEST COAST FPO LTD,36,338,721,612.45,2004,S,ESP,DEEP SEA SPECIES,N,N
POOLE,ISLE OF WIGHT,CS451,MY WAY,A16259,10370,NON-SECTOR,12.02,7.84,179,118.293,1980,F,GBR,CATEGORY B ,Y,N
POOLE,LULWORTH COVE,E262,LUCKY SEVEN,A16559,10394,NON-SECTOR,10.29,8.68,82.06,77.058,1979,W,GBR,CATEGORY A,Y,N
POOLE,LYME REGIS,E12,NEW SEEKER,C20148,12259,CORNISH FPO LTD,11.95,25.93,220,164.844,2012,S,GBR,CATEGORY A,N,Y
POOLE,LYME REGIS,E68,SEA SEEKER,A16472,11884,CORNISH FPO LTD,11.15,17.06,127,108.551,1985,S,GBR,CATEGORY A,Y,Y
POOLE,LYMINGTON,BD87,CHALE BAY,B11440,11413,NON-SECTOR,11.98,19.83,95,100.613,1990,W,,CATEGORY A,Y,N
POOLE,LYMINGTON,SU349,SEA CREST,A23390,11108,NON-SECTOR,11.15,10.59,134,107.91,1981,S,GBR,CATEGORY A,N,Y
POOLE,POOLE,CS1,CELTIC STAR,A15957,40370,NON-SECTOR,11.95,23.41,142,122.694,1982,S,GBR,CATEGORY A,N,Y
POOLE,POOLE,CS628,JOHN EDWARD,B14752,11760,NON-SECTOR,11.97,27.74,140,131.229,1996,F,GBR,CATEGORY C,Y,N
POOLE,POOLE,FE3,RELENTLESS II,C19079,12299,NON-SECTOR,10.13,9.71,209,146.726,2007,F,GBR,CATEGORY C,Y,N
POOLE,POOLE,SU461,PURBECK 11,A23430,11112,NON-SECTOR,11.03,14.23,79,84.633,1981,U,GBR,CATEGORY C,Y,N
POOLE,PORTSMOUTH,FD366,PROVIDING STAR,A16753,10435,NON-SECTOR,13.11,26.75,134,124.801,1982,S,GBR,CATEGORY A,Y,Y
POOLE,PORTSMOUTH,LI111,MAYFLY,A18269,10646,NON-SECTOR,11.98,19.41,127,114.175,1985,S,GBR,CATEGORY A,Y,N
POOLE,PORTSMOUTH,P16,SPORTSMAN KNIGHT,A20080,10818,NON-SECTOR,10.76,10.41,111,89.87,1985,W,GBR,CATEGORY B ,N,N
POOLE,PORTSMOUTH,P8,MORNING STAR,A17951,12092,NON-SECTOR,13.47,25.69,179,146.688,1984,S,GBR,CATEGORY B ,N,Y
POOLE,PORTSMOUTH,P987,JENNY G,C17441,11866,NON-SECTOR,10.27,9.11,294,173.38,2001,F,GBR,CATEGORY A,Y,N
POOLE,PORTSMOUTH,SU233,ANGELLE MARIE,A23364,11104,NON-SECTOR,10.42,6.2,158,110.175,1974,F,GBS,CATEGORY A,Y,N
POOLE,SELSEY,LI135,ZEUS,B12199,11563,NON-SECTOR,11.85,8.89,85,85.295,1991,F,GBR,CATEGORY C,Y,N
POOLE,SELSEY,NN404,TOBY ROC,A20024,11733,NON-SECTOR,11.45,12,80,84.09,1981,W,GBR,CATEGORY C,Y,N
POOLE,SELSEY,SE27,BOLT HEAD QUEEN,A22546,11024,NON-SECTOR,11.71,9.9,52,71.996,1970,W,GBR,CATEGORY A,Y,N
POOLE,SOUTHAMPTON,FY848,DEFIANT,C17970,11903,CORNISH FPO LTD,13.97,41.5,221,179.917,,,GBR,CATEGORY A,N,N
POOLE,SWANAGE,PW7,THREE WISHES,A21343,10878,NON-SECTOR,11.05,7.83,89.52,80.285,1972,W,GBR,CATEGORY A,Y,N
POOLE,WEYMOUTH,WH296,PORTLAND ISLE,B11690,11426,NON-SECTOR,12,18.87,179,135.39,1990,F,GBR,CATEGORY C,Y,N
POOLE,WEYMOUTH,WH425,QUARTER BELL,A23910,11725,NON-SECTOR,11,13.94,127,104.12,1986,F,UNK,CATEGORY C,Y,Y
POOLE,WEYMOUTH,WY37,NICOLA L,A24057,11157,NON-SECTOR,13.6,35.65,197,162.498,1984,S,GBR,CATEGORY A,N,Y
PORTREE,KYLE,BRD149,EILIDH,C17323,40958,WEST OF SCOTLAND FPO LTD,12.73,27.39,126.82,119.319,2001,W,GBR,OVER 10 METRE,N,N
PORTREE,KYLE,BRD90,HELEN BRUCE,B11649,40429,NON-SECTOR,10.4,5.36,55.95,59.497,1954,W,GBR,OVER 10 METRE,Y,N
PORTREE,PORTREE,BRD115,NEMESIS,A17234,42100,CORNISH FPO LTD,11.98,10.28,338,196.426,1988,F,GBR,OVER 10 METRE,N,N
PORTREE,PORTREE,BRD123,DUNAN STAR II,A13455,44572,WEST OF SCOTLAND FPO LTD,13.41,30.32,135,128.605,1987,F,GBR,OVER 10 METRE,Y,N
PORTREE,PORTREE,BRD19,IRIS II,C18361,40029,WEST OF SCOTLAND FPO LTD,11.95,31.35,186,143.45,2004,W,GBR,OVER 10 METRE,N,N
PORTREE,PORTREE,BRD7,MARGRETA M,B10383,11276,WEST OF SCOTLAND FPO LTD,11.7,24.41,221,152.685,1989,F,GBR,OVER 10 METRE,Y,N
PORTREE,PORTREE,BRD74,ENCHANTED,A14272,11286,NON-SECTOR,10.6,11.29,94,87.244,1988,F,GBR,OVER 10 METRE,Y,N
PORTREE,PORTREE,BRD75,SERENE,C18655,41099,NON-SECTOR,11.8,17.47,134,109.86,2006,W,GBR,OVER 10 METRE,Y,N
PORTREE,PORTREE,CN303,NEW DAWN,B10931,50235,WEST OF SCOTLAND FPO LTD,14,24.65,211,167.75,1989,S,GBR,OVER 10 METRE,N,N
PORTREE,PORTREE,CY26,DUNAN STAR,B12305,12412,NORTHERN IRELAND FPO LTD,11.19,13.64,94.7,85.92,1979,F,GBR,OVER 10 METRE,N,N
PORTREE,PORTREE,OB69,MARGARETA II,A16936,10449,NORTHERN IRELAND FPO LTD,13.41,30.04,242,178.364,1982,W,GBR,OVER 10 METRE,Y,N
PORTREE,PORTREE,SY861,CHIEFTAIN,C18448,44165,NON-SECTOR,10.6,6.92,75.4,73.998,1990,F,,OVER 10 METRE,Y,N
PORTREE,TORRIDON,BRD117,MICHELLE,A10974,44169,NON-SECTOR,10.7,5.05,56,63.72,1982,W,GBR,OVER 10 METRE,N,N
PORTREE,TORRIDON,BRD2,CHRISTINE,A21339,40619,NON-SECTOR,10.6,8.23,80,74.69,1982,F,GBR,OVER 10 METRE,Y,N
PORTREE,TORRIDON,CY303,MY AMBER,B14667,40206,WEST OF SCOTLAND FPO LTD,10.3,9.08,119,93.205,1990,F,GBR,OVER 10 METRE,Y,N
PORTREE,UNKNOWN,BRD250,ASTERIA,C21058,42194,WEST OF SCOTLAND FPO LTD,19,168,447,337.95,2017,S,GBR,OVER 10 METRE,N,N
SCARBOROUGH,BRIDLINGTON,FH198,HARVESTER,A16999,10459,CORNISH FPO LTD,11.28,22.78,114,106.346,1974,W,GBR,CATEGORY A,Y,N
SCARBOROUGH,BRIDLINGTON,H100,EVENTIDE,C21030,12855,NON-SECTOR,12.43,17.49,201.5,150.215,2000,F,GBR,CATEGORY C,Y,N
SCARBOROUGH,BRIDLINGTON,H131,KIMBERLEY,B10453,11285,NON-SECTOR,12.15,8.39,216,142.155,1989,F,GBR,CATEGORY A,Y,N
SCARBOROUGH,BRIDLINGTON,H166,HOLLIE J,C18273,11919,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,13.95,22.74,223.8,177.435,2004,S,GBR,CATEGORY A,Y,N
SCARBOROUGH,BRIDLINGTON,H232,TRADITION,A17769,10594,NON-SECTOR,13.6,26.38,224,168.392,1973,W,GBR,CATEGORY A,Y,N
SCARBOROUGH,BRIDLINGTON,H56,CHRISTEL STAR,A17704,10575,NON-SECTOR,13.07,30.26,195,153.492,1983,S,GBR,CATEGORY A,Y,N
SCARBOROUGH,BRIDLINGTON,H77,SIWRENGALE,C17955,10828,NON-SECTOR,14.95,46.23,255,202.955,2003,S,GBR,CATEGORY C,Y,N
SCARBOROUGH,BRIDLINGTON,SH24,MOYALLON,A12815,11679,NON-SECTOR,11.92,23.55,94,97.49,1985,W,GBR,CATEGORY A,Y,N
SCARBOROUGH,BRIDLINGTON,SH37,GENESIS ROSE,C19464,12007,NON-SECTOR,14.99,53.86,230,195.389,2009,S,GBR,CATEGORY C,Y,N
SCARBOROUGH,SCARBOROUGH,FH5,NEW VENTURE,A21379,10882,NON-SECTOR,12.38,21.06,167.85,132.604,1985,W,GBR,CATEGORY A,Y,N
SCARBOROUGH,SCARBOROUGH,GY1477,NORDSTJERNEN,C19116,10140,NON-SECTOR,15.6,32,116,130.824,1976,W,DNK,CATEGORY A,Y,Y
SCARBOROUGH,SCARBOROUGH,GY450,INGER LIS,C19875,10148,NON-SECTOR,15.59,30.81,215,167.685,1974,W,DNK,CATEGORY A,Y,N
SCARBOROUGH,SCARBOROUGH,H11,PERSEVERANCE II,C20396,11875,NON-SECTOR,14,30.42,184,161.06,2013,S,,CATEGORY A,Y,N
SCARBOROUGH,SCARBOROUGH,SH156,BUDDING ROSE,A10773,10076,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,16.76,42,208,191.981,1972,W,GBR,CATEGORY A,Y,N
SCARBOROUGH,SCARBOROUGH,SH170,COURAGE,A22723,11053,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,26.54,284,525.93,435.719,1988,S,GBS,CATEGORY A,N,N
SCARBOROUGH,SCARBOROUGH,SH298,CAROUSEL,C18387,41120,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,14.52,41.67,247,186.654,2005,S,GBR,CATEGORY A,N,Y
SCARBOROUGH,SCARBOROUGH,SH83,EMULATOR,A11644,13125,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,18.25,110,309.59,257.028,1983,W,GBR,CATEGORY A,N,Y
SCARBOROUGH,SCARBOROUGH,SH90,ALLEGIANCE,A22669,12167,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,25.89,206,403,355.331,1987,S,GBR,CATEGORY A,N,N
SCARBOROUGH,SCARBOROUGH,WY319,AURELIA,A11814,44334,ABERDEEN FPO LTD,19.45,86,272,248.63,1980,S,NOR,CATEGORY A,N,N
SCARBOROUGH,UNKNOWN,BM220,ISOBELLA M,C20813,12720,NON-SECTOR,11.7,16.63,177,140.49,2015,F,GBR,CATEGORY C,Y,N
SCARBOROUGH,UNKNOWN,GY451,STORMY C,C20273,50201,NON-SECTOR,17.06,41,127,143.303,1960,W,DNK,CATEGORY A,Y,N
SCARBOROUGH,UNKNOWN,H10,RIPTIDE,C20484,11601,NON-SECTOR,12.49,16.45,521.8,293.513,1990,F,GBR,CATEGORY C,Y,N
SCARBOROUGH,UNKNOWN,H125,SIWREN,C20769,12722,NON-SECTOR,12.49,15.63,338,210.803,1998,F,GBR,CATEGORY B ,Y,N
SCARBOROUGH,UNKNOWN,H125,SIWREN,C20769,12722,NON-SECTOR,12.49,15.63,338,210.803,1998,F,GBR,SANDEELS,Y,N
SCARBOROUGH,UNKNOWN,H20,GENESIS ENIGMA,C20699,12640,NON-SECTOR,14.99,53.58,230,194.939,2015,F,GBR,CATEGORY C,Y,N
SCARBOROUGH,UNKNOWN,H20,GENESIS ENIGMA,C20699,12640,NON-SECTOR,14.99,53.58,230,194.939,2015,F,GBR,NORTHERN ALBACORE TUNA,Y,N
SCARBOROUGH,UNKNOWN,SH130,PILOT ME,C21182,13120,NON-SECTOR,11.77,10.82,154,125.208,2018,F,GBR,CATEGORY C,Y,N
SCARBOROUGH,UNKNOWN,SH84,ATLANTA II,A21401,11685,NON-SECTOR,11.75,23.34,205,150.412,1987,W,GBR,CATEGORY C,Y,N
SCARBOROUGH,UNKNOWN,SH94,OCEAN SPRAY,B11288,12335,NON-SECTOR,14.11,40.34,205,171.83,1990,W,GBR,CATEGORY C,Y,N
SCARBOROUGH,UNKNOWN,SM799,CHARELLA OF SHOREHAM,A15995,12641,NON-SECTOR,11.86,21.42,201.34,148.954,1983,S,GBR,CATEGORY B ,N,Y
SCARBOROUGH,UNKNOWN,SN34,SALACIA,C21040,50471,NON-SECTOR,11.76,25.1,110,104.066,1986,S,FRA,CATEGORY B ,N,Y
SCARBOROUGH,UNKNOWN,WY19,LUCY JANE,A24511,11781,NON-SECTOR,11.28,13.46,111.9,97.393,1978,F,,CATEGORY C,Y,N
SCARBOROUGH,UNKNOWN,WY261,OUR LASS III,C20320,12352,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,25.94,261,480,418.332,2012,S,GBR,CATEGORY A,N,N
SCARBOROUGH,UNKNOWN,WY34,VICTORY ROSE,C20928,12853,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,25.99,265,530,441.222,2016,S,GBR,CATEGORY A,N,N
SCARBOROUGH,UNKNOWN,WY34,VICTORY ROSE,C20928,12853,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,25.99,265,530,441.222,2016,S,GBR,EXTERNAL WATERS:  NORWEGIAN WATERS,N,N
SCARBOROUGH,UNKNOWN,WY79,GOOD INTENT,B10713,13132,ANGLO-SCOTTISH FPO LTD,11.28,28.06,94,94.639,1989,F,GBR,CATEGORY A,Y,N
SCARBOROUGH,URK,FD283,TRUI VAN HINTE,C18304,11923,NORTH SEA FISHERMENS ORGANISATION LTD,40.25,474,1470,1023.75,1989,S,NLD,CATEGORY A,N,N
SCARBOROUGH,URK,GY127,HENDRIKA JACOBA,C17670,11868,NORTH SEA FISHERMENS ORGANISATION LTD,40.2,454,1500,1036.8,1982,,,CATEGORY A,N,N
SCARBOROUGH,URK,P224,MIRANDA,A20243,12807,NORTH SEA FISHERMENS ORGANISATION LTD,37.75,373,1492,992.275,1987,S,NLD,CATEGORY A,N,N
SCARBOROUGH,WHITBY,FE21,CODONGER TOO,A16775,10441,NON-SECTOR,10.68,12.08,71,77.233,1986,F,GBR,CATEGORY A,Y,N
SCARBOROUGH,WHITBY,WY144,JANE ELIZABETH,A24135,11167,NON-SECTOR,11.55,8.54,48,58.907,1960,W,GBR,CATEGORY A,Y,N
SCARBOROUGH,WHITBY,WY218,PRIDE AND JOY,B10732,11314,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,10.9,14.91,102,91.68,1989,W,GBR,CATEGORY A,Y,N
SCARBOROUGH,WHITBY,WY333,DOMINATOR A,A24241,11186,EASTERN ENGLAND FISH PRODUCERS ORGANISATION LTD,10.29,11.36,86,80.786,1981,F,GBR,CATEGORY A,Y,N
SCRABSTER,JOHN O GROATS,WK668,AZURE,B13523,40462,NON-SECTOR,10.55,8.09,97,85.217,1992,F,GBR,OVER 10 METRE,Y,N
SCRABSTER,MACDUFF,WK814,KEMARVIN,A10626,40057,ABERDEEN FPO LTD,16.86,82,208,189.702,1975,S,GBR,OVER 10 METRE,N,N
SCRABSTER,SCRABSTER,WK4,SPARKLING LINE,B10336,41730,NON-SECTOR,17.3,119,233,212.11,1989,S,GBR,OVER 10 METRE,Y,N
SCRABSTER,SCRABSTER,WK673,NORTH STAR,B14595,40744,NON-SECTOR,18.2,150,231,222.25,1996,S,GBR,OVER 10 METRE,Y,N
SCRABSTER,SWANSEA,WK350,SARDONYX II,B10983,11794,SCOTTISH FISHERMENS ORGANISATION,11.45,18.04,179,130.128,1989,S,GBR,OVER 10 METRE,N,Y
SCRABSTER,UNKNOWN,KY322,GUIDING STAR,A12216,40938,ORKNEY FPO LTD,16.15,39,172.5,159.99,1959,W,GBR,OVER 10 METRE,N,Y
SCRABSTER,UNKNOWN,PD352,CEOL NA MARA,A10859,44143,ABERDEEN FPO LTD,16.92,75,273,218.786,1979,S,GBR,OVER 10 METRE,N,N
SCRABSTER,UNKNOWN,WK170,BOY ANDREW,C20938,42081,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,27.5,293,578,471.85,2016,S,DNK,OVER 10 METRE,N,N
SCRABSTER,UNKNOWN,WK39,TENACITY,A12281,12663,NON-SECTOR,11.13,11.49,119,96.623,1973,W,GBR,OVER 10 METRE,Y,N
SCRABSTER,UNKNOWN,WK44,CALINA II,A12103,42297,ABERDEEN FPO LTD,16.79,43,273,212.341,1972,W,GBR,CATEGORY A,Y,N
SCRABSTER,UNKNOWN,WK55,ENYA JEAN,A23100,12407,NON-SECTOR,10.84,9.72,96,86.452,1985,F,GBR,CATEGORY A,Y,N
SCRABSTER,UNKNOWN,WK869,MAREA B III,C20326,44477,NON-SECTOR,11.39,15.8,84,89.511,2013,F,GBR,OVER 10 METRE,Y,N
SCRABSTER,UNKNOWN,WK99,MORNING STAR,C18159,11548,NON-SECTOR,11,11.48,93,86.95,1986,F,GBR,CATEGORY C,Y,N
SCRABSTER,WICK,WK171,OPPORTUNE,A13900,40357,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,25.9,204.05,484,404.28,1979,S,GBR,OVER 10 METRE,N,N
SCRABSTER,WICK,WK810,BOY RICHIE II,C16292,40851,NON-SECTOR,13,19.21,186.5,142.555,1998,S,GBR,OVER 10 METRE,Y,N
STORNOWAY,BENBECULA,BA256,VALAURA,A10404,40222,NON-SECTOR,13.4,32.39,238.72,179.784,1987,S,GBR,OVER 10 METRE,Y,Y
STORNOWAY,BENBECULA,BA256,VALAURA,A10404,40222,NON-SECTOR,13.4,32.39,238.72,179.784,1987,S,GBR,SANDEELS,Y,Y
STORNOWAY,BRACADALE,SY128,SPINDRIFT,A11721,41094,ORKNEY FPO LTD,10.62,10.18,68.85,75.799,1985,W,GBR,OVER 10 METRE,Y,N
STORNOWAY,CASTLEBAY,CY211,MARCAN SINE,A11329,41072,NON-SECTOR,11.22,7.66,80,78.412,1974,F,GBR,OVER 10 METRE,Y,N
STORNOWAY,CASTLEBAY,CY464,ISABELLA,B14297,41255,NON-SECTOR,11.35,9.46,298,175.527,1995,F,GBR,OVER 10 METRE,Y,Y
STORNOWAY,FRASERBURGH,CY340,NORDIC WAY,B13147,40455,SCOTTISH FISHERMENS ORGANISATION,15.52,59,179,164.358,1992,S,GBR,OVER 10 METRE,N,N
STORNOWAY,GRIMSAY,PD294,WAKEFUL,A16734,44639,NON-SECTOR,11.32,12.14,96,88.367,1974,F,GBR,OVER 10 METRE,Y,N
STORNOWAY,KINLOCHBERVIE,SY21,KAYLANA,A13171,44086,SCOTTISH FISHERMENS ORGANISATION,17.26,64,211,192.296,1978,W,GBR,OVER 10 METRE,N,N
STORNOWAY,LERWICK,CY341,LAUREL,C16599,70058,SCOTTISH FISHERMENS ORGANISATION,16.58,60.25,294,225.977,1992,W,GBR,OVER 10 METRE,Y,N
STORNOWAY,NORTH UIST,CY110,GANNET II,A11288,44200,NON-SECTOR,10.15,8.59,67,67.604,1974,W,GBR,OVER 10 METRE,Y,N
STORNOWAY,NORTH UIST,CY263,FAIR LASS,A11350,44208,NON-SECTOR,11.09,10.46,89,83.966,1973,W,GBR,OVER 10 METRE,Y,N
STORNOWAY,NORTH UIST,CY4,SAPPHIRE,C18170,11290,NON-SECTOR,11.58,7.72,218,140.367,,F,GBR,OVER 10 METRE,Y,N
STORNOWAY,SOUTH LOCHS,SY799,ONWARD,A13639,40177,NON-SECTOR,11.83,15.61,94,94.943,1987,W,GBR,OVER 10 METRE,Y,N
STORNOWAY,SOUTH UIST & ERISKAY,CY163,STELIMAR,A11316,44204,NON-SECTOR,12.78,25.56,135.00,123.116,1988,W,GBR,OVER 10 METRE,Y,Y
STORNOWAY,SOUTH UIST & ERISKAY,CY84,OCEAN MAID,A11269,40127,NON-SECTOR,10.99,14.83,70,73.592,1974,F,GBR,OVER 10 METRE,Y,N
STORNOWAY,STORNOWAY,BCK625,KELLY,A10679,40065,NON-SECTOR,18.17,84,403,295.458,1982,W,GBR,OVER 10 METRE,N,Y
STORNOWAY,STORNOWAY,CY177,ARNBORG,A17773,40545,SCOTTISH FISHERMENS ORGANISATION,16.2,46,114,138.78,1974,W,GBS,OVER 10 METRE,N,N
STORNOWAY,STORNOWAY,CY701,JOANNA,A10168,41606,SCOTTISH FISHERMENS ORGANISATION,16.46,88,257,220.006,1985,W,UNK,OVER 10 METRE,N,N
STORNOWAY,STORNOWAY,CY702,MINCH HARVESTER,A10749,44134,SCOTTISH FISHERMENS ORGANISATION,17.16,76,231,199.703,1980,W,GBR,OVER 10 METRE,N,N
STORNOWAY,STORNOWAY,SY11,NORTHERN STAR,A13378,44563,ORKNEY FPO LTD,16.46,39,149,151.325,1968,W,GBR,OVER 10 METRE,N,N
STORNOWAY,STORNOWAY,SY121,PREVAIL,B11630,40532,SCOTTISH FISHERMENS ORGANISATION,16.41,90,298,239.944,1990,W,GBR,OVER 10 METRE,N,N
STORNOWAY,STORNOWAY,SY274,RIVAL II,A12294,44393,SCOTTISH FISHERMENS ORGANISATION,14.64,29.78,154.5,146.824,1974,W,GBR,OVER 10 METRE,Y,N
STORNOWAY,STORNOWAY,SY337,COMRADE,A11466,41015,SCOTTISH FISHERMENS ORGANISATION,16.65,64,275.11,216.207,1972,W,GBR,OVER 10 METRE,N,Y
STORNOWAY,STORNOWAY,SY7,SHEIGRA,A13682,44180,ORKNEY FPO LTD,17.04,43,131,152.67,1971,W,GBR,OVER 10 METRE,N,N
STORNOWAY,STORNOWAY,SY85,SIARACH III,C16798,70944,NON-SECTOR,19.45,70,209.7,201.535,1986,S,DEU,OVER 10 METRE,N,Y
STORNOWAY,STORNOWAY,SY916,AMBITIOUS,A24061,50263,SCOTTISH FISHERMENS ORGANISATION,16.42,78,299,234.712,1973,W,GBR,OVER 10 METRE,N,Y
